posterior_index,H0,omega_m0,omega_k0,sigma8_0,fit_log10_mstar2_ratio_0,fit_mstar2_ratio_0,fit_mstar2_drop_pct,fit_ell_tilt,chi2_baseline,chi2_mg_fit,delta_chi2_fit_minus_baseline,optimizer_success
4.500000000000000000e+01,7.366933131358520370e+01,2.622759009261657059e-01,0.000000000000000000e+00,8.147899126321997976e-01,-2.217014476972700363e-02,9.502324454873747328e-01,4.976755451262526719e+00,-3.846736490126303337e-02,1.666478516377175012e+01,7.565537665787542387e+00,-9.099247497984208621e+00,1.000000000000000000e+00
1.110000000000000000e+02,7.127322819230950302e+01,3.768108982672294660e-01,0.000000000000000000e+00,7.771471050572825723e-01,-4.788743304259119454e-02,8.955968696971107201e-01,1.044031303028892843e+01,-1.731009441393297765e-01,7.893441600982052364e+01,8.212332027100369913e+00,-7.072208398272015017e+01,1.000000000000000000e+00
2.010000000000000000e+02,6.998246863522975048e+01,3.786992155025090123e-01,0.000000000000000000e+00,7.742699476543511983e-01,-4.408921704786335910e-02,9.034638562178166632e-01,9.653614378218334124e+00,-1.609916330262424755e-01,7.008788215733611082e+01,8.146855208952855421e+00,-6.194102694838325363e+01,1.000000000000000000e+00
2.050000000000000000e+02,7.547087592630056463e+01,3.990360737361806631e-01,0.000000000000000000e+00,7.365680206195064361e-01,-1.143673807719194357e-01,7.684800883563214224e-01,2.315199116436785687e+01,-2.370019569519153102e-01,1.979967910925924457e+02,8.605724372500729302e+00,-1.893910667200917146e+02,1.000000000000000000e+00
2.090000000000000000e+02,6.929517906964863982e+01,3.123002968254111611e-01,0.000000000000000000e+00,7.563758965306455195e-01,-6.271052289346762398e-02,8.655446515848966849e-01,1.344553484151033196e+01,-6.671163789772782682e-02,5.538770206636095850e+01,7.711222480073547381e+00,-4.767647958628741378e+01,1.000000000000000000e+00
2.200000000000000000e+02,6.667702468409629546e+01,3.851055132005395398e-01,0.000000000000000000e+00,7.560141196653683560e-01,-4.490779366741236289e-02,9.017625731343864581e-01,9.823742686561354631e+00,-1.293167393770658646e-01,5.898771561378092798e+01,7.989650930326900991e+00,-5.099806468345402521e+01,1.000000000000000000e+00
2.310000000000000000e+02,7.055287550049106926e+01,3.342702146950080611e-01,0.000000000000000000e+00,7.952876010472478274e-01,-2.661670270931419668e-02,9.405530526163988769e-01,5.944694738360112751e+00,-1.141094280349796430e-01,3.788259167177824338e+01,7.893506407290902693e+00,-2.998908526448733980e+01,1.000000000000000000e+00
2.330000000000000000e+02,6.739451827400861816e+01,3.229302665817936902e-01,0.000000000000000000e+00,7.719083453328069444e-01,-3.285799395473951862e-02,9.271329286766814004e-01,7.286707132331859960e+00,-5.851945391727440132e-02,2.718908158012623844e+01,7.665735801941901073e+00,-1.952334577818433559e+01,1.000000000000000000e+00
4.390000000000000000e+02,7.057275585389632511e+01,3.532178003903199137e-01,0.000000000000000000e+00,7.651557134235075219e-01,-5.975145540721817777e-02,8.714621807854224800e-01,1.285378192145775245e+01,-1.378019588995155476e-01,7.791229543268376290e+01,8.029573358811274986e+00,-6.988272207387248613e+01,1.000000000000000000e+00
5.560000000000000000e+02,7.005561743606078551e+01,3.830378335033986503e-01,0.000000000000000000e+00,7.163926524129931028e-01,-1.120355903402574793e-01,7.726172666808883704e-01,2.273827333191116296e+01,-1.651475450785587218e-01,1.597923124858347421e+02,8.201131239242711146e+00,-1.515911812465920434e+02,1.000000000000000000e+00
5.860000000000000000e+02,6.941418729173935276e+01,3.468642249248768406e-01,0.000000000000000000e+00,7.952595271844908886e-01,-1.933784092864110349e-02,9.564497524042943066e-01,4.355024759570569337e+00,-1.171375928162021601e-01,3.355252383868164401e+01,7.906967362634226504e+00,-2.564555647604741750e+01,1.000000000000000000e+00
6.330000000000000000e+02,6.841569672301964999e+01,2.841060905908110445e-01,0.000000000000000000e+00,8.377013106189822311e-01,3.426504438554487525e-02,1.082094138082660750e+00,-8.209413808266074142e+00,-1.067457339757770830e-02,1.656781204072646929e+01,7.452861101520218412e+00,-9.114950939206250879e+00,1.000000000000000000e+00
7.060000000000000000e+02,6.869483920417741274e+01,2.242550160747270871e-01,0.000000000000000000e+00,8.795610133191869018e-01,8.755175078572897951e-02,1.223352885813856483e+00,-2.233528858138564743e+01,1.144187956928809646e-01,1.826772485767541241e+02,7.272137540575646319e+00,-1.754051110361784822e+02,1.000000000000000000e+00
7.650000000000000000e+02,6.660538409308536245e+01,2.686303681477404393e-01,0.000000000000000000e+00,8.350518249428335871e-01,4.633978210184771379e-02,1.112601861182480611e+00,-1.126018611824806115e+01,4.500970944256586781e-02,4.258454742969867368e+01,7.338231858096365912e+00,-3.524631557160230955e+01,1.000000000000000000e+00
7.840000000000000000e+02,6.925186966697273760e+01,3.686557078738246229e-01,0.000000000000000000e+00,7.697332601501039040e-01,-4.577403995367533562e-02,8.999657049063768399e-01,1.000342950936231645e+01,-1.412229953057746734e-01,6.422725542247465569e+01,8.043473766119982216e+00,-5.618378165635467525e+01,1.000000000000000000e+00
8.140000000000000000e+02,7.182122043279265711e+01,3.989214054807049270e-01,0.000000000000000000e+00,7.555874706192505785e-01,-7.370949617685033928e-02,8.438990613383994255e-01,1.561009386616005656e+01,-2.014352650267541567e-01,1.223027755498132620e+02,8.385914428184040759e+00,-1.139168611216292248e+02,1.000000000000000000e+00
