rep,truth_draw,truth_fmiss_rep,f_post_mean_mu,f_post_mean_gr,delta_lpd_total,delta_lpd_data,delta_lpd_sel
0,217,,0.12379833483101171,0.1238013638199855,3.5308676253914086,2.505917614976653,1.0249500104147558
1,163,,0.1237991718536153,0.12380222507982,3.60479641953458,2.5463458746309016,1.0584505449036783
2,130,,0.1237983911799045,0.12380147312246573,3.511593663592919,2.505081053921259,1.0065126096716597
3,69,,0.12379961261012505,0.12380277882603394,3.718900460634302,2.656439375734948,1.062461084899354
4,78,,0.12379906207139804,0.12380210215318466,3.3286037337257426,2.327477382794541,1.0011263509312016
5,10,,0.12379875008347886,0.123801932919718,3.3469598926312756,2.3955855747309727,0.9513743179003029
6,19,,0.12379858750260556,0.12380174263415233,3.1043871349085634,2.197449713357031,0.9069374215515325
7,4,,0.12379975044556898,0.12380303176178138,4.14229424080213,3.0027414597303164,1.1395527810718136
8,44,,0.12379901387324228,0.12380204561665593,3.889443709173065,2.767105405325509,1.122338303847556
9,208,,0.1237972640523972,0.12380018222490817,3.314749684343667,2.3712988434765805,0.9434508408670865
10,166,,0.12379816346690915,0.12380106859381891,3.236423733070808,2.26323759242041,0.9731861406503981
11,233,,0.12379907187108277,0.12380218011248982,3.327265891415095,2.343640575091939,0.9836253163231561
12,128,,0.12379655874201614,0.12379933301924462,3.2193646698671614,2.3102417622285714,0.90912290763859
13,155,,0.12379960158994238,0.12380284396388821,3.52304855949194,2.518081539143651,1.004967020348289
14,248,,0.12379864723904596,0.12380166865295064,3.3645579962726515,2.356259659897347,1.0082983363753044
15,186,,0.12379731237064683,0.12380017446928052,3.3356761256041523,2.380922640517383,0.9547534850867692
16,161,,0.12379765548775497,0.12380070456302839,3.2454531778191154,2.334551351507315,0.9109018263118003
17,139,,0.12379901514320232,0.12380206167910403,3.4078543446450453,2.4032534881387733,1.004600856506272
18,143,,0.12379854648080023,0.12380156703259358,3.5243204560815116,2.4958362298764882,1.0284842262050233
19,239,,0.1237979926964,0.12380098147094058,3.59434743243861,2.5807298902944353,1.0136175421441749
20,71,,0.12379897069759004,0.12380191600676559,3.789814328163118,2.67806549466971,1.111748833493408
21,208,,0.1237976564107395,0.12380066310822072,3.791253754720117,2.7830803764097425,1.0081733783103743
22,171,,0.1237990133206405,0.1238021446564514,3.366093062534219,2.378957643217916,0.9871354193163029
23,0,,0.1237975963224343,0.12380055529441637,3.157351221538363,2.236237462990829,0.9211137585475342
24,100,,0.12379835041224262,0.12380136116547975,3.1915497824316503,2.2327112507421703,0.9588385316894801
25,219,,0.12379876914519683,0.12380195282641471,3.521500538359078,2.543189375238086,0.978311163120992
26,141,,0.12379760709503845,0.12380048543023243,3.345559509763575,2.3761491258728995,0.9694103838906756
27,8,,0.12379936361356536,0.12380259701060012,3.8534692961828227,2.8145983876771368,1.038870908505686
28,195,,0.12379819142011635,0.123801244472061,3.3732023151004,2.412255315617557,0.960946999482843
29,186,,0.12379806083029088,0.1238010886431982,3.0993871578223207,2.184050445363056,0.9153367124592648
30,216,,0.12380033060418955,0.12380364006492564,3.7099554757000988,2.642448174629294,1.0675073010708047
31,44,,0.12379960139979357,0.12380286713165131,3.451106387421362,2.4393578467000054,1.0117485407213564
32,22,,0.12379911493401162,0.12380216376709091,3.268008266262882,2.2677622826309687,1.0002459836319133
33,220,,0.12379794367251915,0.1238009291590409,3.6797902796361655,2.6541310687913153,1.0256592108448501
34,5,,0.12379821492700675,0.12380113605698068,3.4416106240221325,2.4178761162204125,1.02373450780172
35,138,,0.12379810692794563,0.12380107004490977,3.1426415557947394,2.18796306049947,0.9546784952952692
36,20,,0.12379893642285657,0.12380211665464307,3.073635889477771,2.1415199254085167,0.9321159640692542
37,76,,0.12379915742018888,0.12380233963566029,3.506614418230072,2.468724106622858,1.0378903116072138
38,123,,0.12379970132539903,0.12380284022348201,4.0174271100311785,2.885984307963156,1.1314428020680225
39,108,,0.12379793003717175,0.12380084654930301,3.4774350458213803,2.481159509298351,0.9962755365230294
40,103,,0.1237980001812512,0.12380100179781214,3.2706331819148318,2.321352167835329,0.9492810140795029
41,7,,0.12379789291634237,0.12380090700413555,3.21006267869285,2.28303645345909,0.9270262252337602
42,1,,0.12379740471552012,0.12380026304866909,3.308637823250649,2.3325740186709254,0.9760638045797236
43,31,,0.12379783595827548,0.12380075959455061,3.2322289581549057,2.2762708892937553,0.9559580688611504
44,2,,0.12379731951406384,0.12380026555692936,3.342922412007738,2.4164097043392303,0.9265127076685076
45,171,,0.12379903552700114,0.12380206247679353,3.5503172095237687,2.4836190419242428,1.066698167599526
46,134,,0.12379763262869363,0.1238006048668799,3.484691168043412,2.4930230715028188,0.9916680965405931
47,165,,0.1237988572824924,0.1238020613254987,3.456837020152932,2.4435292710166436,1.0133077491362883
48,65,,0.123798428985951,0.12380147355422624,3.0989128913180934,2.161116252670837,0.9377966386472565
49,157,,0.12379774141203065,0.12380060436785392,3.187916644682332,2.239805062624839,0.9481115820574928
50,195,,0.12379878515579493,0.12380192433001264,3.3542854612513793,2.3637421321580234,0.9905433290933559
51,98,,0.12379867389002809,0.1238017838088036,3.5382653997850753,2.5313595094613675,1.0069058903237078
52,117,,0.12379972554507479,0.12380288038613063,3.5950594794095423,2.52409263726679,1.0709668421427523
53,255,,0.12379862705644393,0.12380159571838739,3.3252774695911853,2.333169602881327,0.9921078667098584
54,206,,0.12379782086771143,0.123800747320607,3.2540459289390924,2.307704281920138,0.9463416470189543
55,251,,0.12379864564214449,0.12380174807315686,3.2289335674394124,2.2770004996504554,0.951933067788957
56,97,,0.12379796087610294,0.12380099979342651,3.0880690987943353,2.175244337799427,0.9128247609949085
57,175,,0.12380083267492183,0.12380408440008486,4.215839111981779,3.015464985823286,1.2003741261584935
58,243,,0.12379921232548605,0.1238022510079271,3.5941651804911317,2.5387849254600496,1.055380255031082
59,166,,0.12379856042190257,0.1238015226456944,3.101623741694084,2.129030128968054,0.9725936127260297
60,215,,0.12379853206206948,0.12380153970053503,3.506456316070228,2.4986223962267218,1.007833919843506
61,176,,0.12379886440926682,0.12380187942551105,3.8578365049028207,2.7504019581195394,1.1074345467832813
62,180,,0.12379938500490499,0.12380249008990676,3.6140614817358596,2.548831250319836,1.0652302314160238
63,99,,0.1237986628084892,0.12380167749931174,3.533312570296289,2.4849345879781026,1.0483779823181862
64,224,,0.12380048496870938,0.12380378466016084,4.42558720998494,3.215905363478896,1.2096818465060437
65,34,,0.12379940192748921,0.12380240345611794,3.4281734618618316,2.3617105267715033,1.0664629350903283
