rep,truth_draw,truth_fmiss_rep,f_post_mean_mu,f_post_mean_gr,delta_lpd_total,delta_lpd_data,delta_lpd_sel
0,217,,0.12379849764494294,0.12380154829771552,3.6435829142776583,2.5943980133304763,1.049184900947182
1,163,,0.12379940030407013,0.12380247201894451,3.7276338004471654,2.6389982394773597,1.0886355609698057
2,130,,0.12379851622013475,0.12380162391305441,3.5925657574066463,2.5705557709653704,1.022009986441276
3,69,,0.12379978568125159,0.12380296002692202,3.8109311138544513,2.7280439587640615,1.0828871550903898
4,78,,0.12379918197522735,0.12380223287548331,3.3622673195354764,2.3503387152209427,1.0119286043145337
5,10,,0.12379888032711281,0.12380207794631395,3.3736782856735203,2.413977278885909,0.9597010067876113
6,19,,0.12379856394451563,0.12380171605352507,3.1008799166025938,2.195296805899119,0.9055831107034749
7,4,,0.12380004300772136,0.12380333600892623,4.3980787623409014,3.2045638597614072,1.1935149025794942
8,44,,0.12379917918613184,0.1238022197692197,4.044442154073579,2.889080905484718,1.1553612485888607
9,208,,0.1237973413917284,0.1238002786673134,3.3366865972481605,2.388518163037844,0.9481684342103165
10,166,,0.12379818184960606,0.12380108840640565,3.2403054145109422,2.2656407281167503,0.9746646863941919
11,233,,0.12379928944727865,0.12380242495289956,3.3767318257559396,2.378557544524938,0.9981742812310017
12,128,,0.12379658902878507,0.12379936569128033,3.2223487970643987,2.3110119348845615,0.9113368621798372
13,155,,0.12379977118298977,0.12380302240926677,3.591482229255746,2.5697207479959445,1.0217614812598015
14,248,,0.12379875910121405,0.12380179597868979,3.405790349935387,2.3868642109960376,1.0189261389393494
15,186,,0.12379736547393813,0.12380023260146598,3.3489032121249807,2.3891197404444426,0.959783471680538
16,161,,0.12379779105717434,0.12380085973033421,3.293547683668521,2.3688539595929967,0.9246937240755244
17,139,,0.12379910613668786,0.12380216083894782,3.431782588245369,2.4199445149114354,1.0118380733339336
18,143,,0.12379868831886118,0.12380172695233202,3.6457589261112844,2.5906015510460065,1.0551573750652778
19,239,,0.12379810919006223,0.12380111108164203,3.657939385218299,2.628857331690483,1.0290820535278158
20,71,,0.12379918962296207,0.12380214880425254,3.956062230031307,2.8085097899639493,1.1475524400673578
21,208,,0.12379777542719557,0.12380079320544395,3.8528866688164953,2.8292013088929195,1.0236853599235758
22,171,,0.12379915762169538,0.12380229919424385,3.408580365954208,2.4098870342745613,0.9986933316796467
23,0,,0.1237976634463851,0.1238006322623641,3.179991910619549,2.2516201096334214,0.9283718009861275
24,100,,0.12379840828486105,0.12380142557220201,3.2149140577418507,2.249706481483031,0.9652075762588197
25,219,,0.12379892696916353,0.1238021205125015,3.5794416023346116,2.586794860944451,0.9926467413901605
26,141,,0.12379772874719339,0.12380061447720597,3.4292292579456785,2.437738932527509,0.9914903254181695
27,8,,0.12379957986208492,0.12380281740121427,3.9719612795904027,2.9055102921653884,1.0664509874250143
28,195,,0.12379826599828336,0.123801325823444,3.4007063939307614,2.431980692020801,0.9687257019099604
29,186,,0.12379814086148214,0.12380117837673266,3.1089798726995355,2.1883816062535857,0.9205982664459498
30,216,,0.12380056194924412,0.12380388979670093,3.844038741476993,2.748458297998667,1.095580443478326
