rep,truth_draw,truth_fmiss_rep,f_post_mean_mu,f_post_mean_gr,delta_lpd_total,delta_lpd_data,delta_lpd_sel
0,121,,0.1237979172636734,0.12380086386346417,3.452960902352743,2.4767743126416235,0.9761865897111193
1,131,,0.1237981637231515,0.12380119239415474,3.246034067067626,2.3064496775782573,0.9395843894893687
2,193,,0.12379765768407444,0.1238005680790554,3.235405409240059,2.2861436705977383,0.9492617386423206
3,243,,0.12379842892183147,0.12380147548637462,3.1623522065981433,2.2234621806706514,0.9388900259274919
4,8,,0.1237982246080359,0.12380125173477266,3.349913053197497,2.379542708332764,0.9703703448647332
5,36,,0.12379747666054909,0.12380035864148292,3.191346873763109,2.256673606199513,0.9346732675635963
6,210,,0.12379840321412172,0.12380142216390544,3.4226307298728216,2.425689371091295,0.9969413587815268
7,242,,0.12380056427273178,0.1238039040715298,3.4889926662474977,2.4432535673248026,1.0457390989226951
8,63,,0.123798678683678,0.12380180259559288,3.4220210267992,2.437721508383447,0.984299518415753
9,79,,0.12379876401941488,0.12380179411930461,3.3274722289256715,2.3200945098691363,1.0073777190565352
10,222,,0.1237979167356876,0.12380091329244983,3.242837977996089,2.3294506672964417,0.9133873106996475
11,108,,0.12379882634552467,0.12380190813922651,3.1644635196173,2.1983405608103226,0.9661229588069773
12,69,,0.12379813013169097,0.12380093914048196,3.448509182145756,2.437173193208281,1.011335988937475
13,211,,0.12379793163656337,0.12380089930076299,3.048924002107981,2.1294753146477206,0.9194486874602603
14,65,,0.12379705994310192,0.12379989011397542,3.3759830760025125,2.4348754945986286,0.9411075814038838
15,104,,0.1237977259823326,0.12380069005411115,3.1919553321469607,2.2522284747451238,0.9397268574018369
16,164,,0.12379872764053182,0.12380177658551136,3.2146073663565176,2.2495551812863823,0.9650521850701352
17,140,,0.1237989331231025,0.12380208917979774,3.146554443358184,2.2072325444931664,0.9393218988650176
18,21,,0.1237998485762428,0.12380306954237165,3.2702471987134345,2.278598217889055,0.9916489808243796
