rep,group,n_ev,delta_lpd_total,delta_lpd_data,delta_lpd_sel
0,dist_low,12,0.36825885426553384,-0.09338170293037251,0.46164055719590635
0,dist_mid,12,2.349889361920191,2.1105195974008666,0.23936976451932424
0,dist_high,12,2.2125446456419837,1.7590189217190328,0.4535257239229509
0,sky_small,18,0.05597620872117659,-0.5556613000571815,0.6116375087783581
0,sky_large,18,3.524164013718533,2.975982335152679,0.5481816785658538
1,dist_low,12,0.37094151316016166,-0.0983591717109249,0.46930068487108656
1,dist_mid,12,1.4309112151572378,1.0236793472537613,0.40723186790347654
1,dist_high,12,2.4809184070800683,2.186329894221771,0.29458851285829724
1,sky_small,18,0.011330449797299025,-0.5963721685822065,0.6077026183795056
1,sky_large,18,3.4569698213279594,2.9267160158249794,0.53025380550298
2,dist_low,12,0.18064681624440482,-0.27203913882500785,0.45268595506941267
2,dist_mid,12,1.3279884107675315,0.9284663553782053,0.39952205538932617
2,dist_high,12,2.65334109305644,2.3336389742002126,0.31970211885622746
2,sky_small,18,0.009609570853541527,-0.5881210212806991,0.5977305921342406
2,sky_large,18,3.4494858058793625,2.9091504195439484,0.5403353863354141
3,dist_low,12,0.1925999992590448,-0.2652380445074698,0.4578380437665146
3,dist_mid,12,2.7069858827050837,2.392959805932861,0.3140260767722225
3,dist_high,12,1.295366386511276,0.9052917051658795,0.39007468134539636
3,sky_small,18,0.1441562769291238,-0.4465584719601736,0.5907147488892974
3,sky_large,18,3.3545482653436665,2.8294475561417016,0.5251007092019648
4,dist_low,12,0.41309663904714,-0.05560650466608763,0.46870314371322763
4,dist_mid,12,-0.025522716339651197,-0.4469116454270079,0.4213889290873567
4,dist_high,12,3.433630949353187,3.0894986391245993,0.3441323102285878
4,sky_small,18,0.006345925720580681,-0.5949675000838397,0.6013134258044204
4,sky_large,18,3.5124944653445596,2.9600107446111394,0.5524837207334201
5,dist_low,12,2.7239989014628776,2.4237252336499253,0.3002736678129523
5,dist_mid,12,-0.5537168195124309,-0.9326554781409016,0.37893865862847065
5,dist_high,12,1.9231178408972482,1.483084042310928,0.4400337985863203
5,sky_small,18,-0.11656727298651504,-0.7031253042084415,0.5865580312219265
5,sky_large,18,3.444332246815094,2.9039618849192266,0.5403703618958673
6,dist_low,12,-0.18431584782891264,-0.6078490786114088,0.42353323078249616
6,dist_mid,12,0.24597331702271674,-0.19969708534239317,0.4456704023651099
6,dist_high,12,3.5424565717071346,3.166796284123116,0.3756602875840187
6,sky_small,18,-0.21006389055801833,-0.7838817948574217,0.5738179042994034
6,sky_large,18,3.7022251467140848,3.12935756542862,0.5728675812854647
7,dist_low,12,0.19981765681272634,-0.24679174084297983,0.4466093976557062
7,dist_mid,12,3.0324877110298587,2.7091515004225926,0.32333621060726614
7,dist_high,12,1.275740381459073,0.8210207581725655,0.4547196232865076
7,sky_small,18,0.5823204784302618,-0.02763942146344789,0.6099598998937097
7,sky_large,18,3.5536944027349477,2.996783312524272,0.5569110902106758
8,dist_low,12,2.7712931284023057,2.473763443451247,0.29752968495105847
8,dist_mid,12,-0.41898414452700194,-0.8048264840601718,0.3858423395331698
8,dist_high,12,2.077045930709744,1.628227698024837,0.44881823268490706
8,sky_small,18,0.04294981340444792,-0.5586910914036309,0.6016409048080789
8,sky_large,18,3.5667138720470035,3.0136553990885346,0.5530584729584689
9,dist_low,12,3.2381379665379484,2.907121843188335,0.33101612334961317
9,dist_mid,12,0.02609573760156536,-0.40517892626512264,0.431274663866688
9,dist_high,12,0.9498527159059051,0.5007298502231237,0.4491228656827815
9,sky_small,18,0.22146268649836998,-0.36365387964514184,0.5851165661435118
9,sky_large,18,3.613288509528388,3.0491955727107154,0.5640929368176728
10,dist_low,12,1.3388703128146062,0.9466551865033921,0.39221512631121414
10,dist_mid,12,2.4846069865618574,2.1998355534953333,0.2847714330665241
10,dist_high,12,0.7196461326338266,0.26327996874263704,0.45636616389118956
10,sky_small,18,0.04639650225666969,-0.5433502233257173,0.5897467255823869
10,sky_large,18,3.3677812481406164,2.8407513973168648,0.5270298508237516
11,dist_low,12,2.5389823549892583,2.266096972844238,0.2728853821450201
11,dist_mid,12,1.2773902485381683,0.8800046628318654,0.3973855857063029
11,dist_high,12,0.8774016849227735,0.4007947963341536,0.4766068885886199
11,sky_small,18,0.0063812382488777075,-0.5885391731597736,0.5949204114086513
11,sky_large,18,3.4214678284292717,2.887396014917215,0.5340718135120568
12,dist_low,12,-0.16040359479293897,-0.5896453750071373,0.42924178021419834
12,dist_mid,12,2.563388131583082,2.2635236180013862,0.29986451358169575
12,dist_high,12,2.003172073590278,1.5598906816258449,0.44328139196443317
12,sky_small,18,0.007557301888027723,-0.6120906213203341,0.6196479232083618
12,sky_large,18,3.591795131919966,3.0336046097413885,0.5581905221785775
13,dist_low,12,3.116245925076541,2.7959034699459977,0.32034245513054316
13,dist_mid,12,-0.2010211179543404,-0.6173486591059287,0.4163275411515883
13,dist_high,12,0.49629309136885524,0.0335981699347343,0.46269492143412094
13,sky_small,18,-0.35903411164707677,-0.897954713819388,0.5389206021723112
13,sky_large,18,3.4659414948161498,2.918908513679739,0.547032981136411
14,dist_low,12,2.6140071925412514,2.353240699489959,0.2607664930512925
14,dist_mid,12,1.362330739792995,0.95600755999277,0.4063231798002249
14,dist_high,12,0.7594263066144578,0.2774015074245568,0.48202479918990093
