rep,truth_draw,truth_fmiss_rep,f_post_mean_mu,f_post_mean_gr,delta_lpd_total,delta_lpd_data,delta_lpd_sel
0,98,0.25,0.12379765700689661,0.12380054867361048,3.3253456551120166,2.342232978828207,0.9831126762838096
1,241,0.25,0.12379796023474454,0.12380091332789356,3.360814957290472,2.385341821270856,0.975473136019616
2,239,0.25,0.12379818356031444,0.12380114675018268,3.238843275647298,2.2871859795724276,0.9516572960748704
3,78,0.25,0.12379802668395239,0.12380089130124082,3.2925990178168263,2.3015323992771073,0.991066618539719
4,87,0.25,0.12379865995844916,0.12380171933499559,3.306941193788532,2.3381718919535217,0.9687693018350103
5,65,0.25,0.12379802852529147,0.12380095900098784,3.2122250862428814,2.259783475104655,0.9524416111382266
6,81,0.25,0.12379971368572548,0.12380297639111612,3.626490750246944,2.586659985333881,1.039830764913063
7,56,0.25,0.12379778064470666,0.12380070251060671,3.201489214970593,2.2408872573171834,0.9606019576534095
8,210,0.25,0.12379985920088649,0.12380296774811118,3.616581807568366,2.542609694817344,1.0739721127510222
9,201,0.25,0.12379790284491204,0.12380090487026313,3.457300738151332,2.467416370490639,0.989884367660693
10,225,0.25,0.12379940841915629,0.12380248310910213,3.484839059003207,2.428511599163727,1.0563274598394798
11,55,0.25,0.12379772939436526,0.12380061020120614,3.325144867964127,2.3533064477227015,0.9718384202414256
12,99,0.25,0.1237984211056253,0.12380141138568353,3.1892422834436616,2.234565146139772,0.9546771373038894
13,206,0.25,0.12379784876435243,0.12380075034042147,3.3194121909069736,2.353039756168357,0.9663724347386164
14,98,0.25,0.1237992375875046,0.12380238006986768,3.5517999527553457,2.5201858672462265,1.0316140855091191
15,187,0.25,0.123799212825614,0.12380238760447307,3.219597278032552,2.2505332818477655,0.9690639961847864
16,9,0.25,0.1237980524179288,0.12380100873034319,3.4822727435621914,2.469032050843566,1.0132406927186253
17,107,0.25,0.12379731936964888,0.12380011371133828,3.409535281888907,2.4349119574134193,0.9746233244754876
18,47,0.25,0.12379984438534214,0.12380303057545818,3.5797266992848336,2.519483318309767,1.0602433809750664
19,125,0.25,0.12379850040153852,0.12380158745231769,3.432171313631329,2.47254191585327,0.959629397778059
20,50,0.25,0.12379827707677103,0.12380135087734292,3.2256192424363803,2.29945613433145,0.9261631081049302
21,232,0.25,0.12379708868545608,0.1238000285424235,3.520608950589292,2.590903755085833,0.929705195503459
22,120,0.25,0.12379867408615604,0.1238017012376212,3.4956669336907,2.466821547572664,1.0288453861180358
23,202,0.25,0.12379826780053715,0.12380124288405178,3.08355229471033,2.1487048737488124,0.9348474209615176
24,5,0.25,0.12379843198220052,0.12380132589360693,3.247148616277741,2.261226613216593,0.9859220030611482
25,39,0.25,0.12379831612202603,0.12380124803816894,3.5279777301371382,2.51826893110578,1.0097087990313582
26,203,0.25,0.123797498600263,0.12380033069842197,3.4443776074512016,2.477111699470214,0.9672659079809875
27,191,0.25,0.12379753210715264,0.12380047687422246,3.2358089120916134,2.3191780139053435,0.9166308981862699
28,176,0.25,0.12379839969517244,0.12380140536963388,3.72218600370104,2.6762711906092704,1.0459148130917697
29,103,0.25,0.12379797929016191,0.12380085352718376,3.2156143022426704,2.2406151692651406,0.9749991329775298
30,100,0.25,0.12379867261227626,0.12380174190954,3.511617503981313,2.482701063413259,1.0289164405680538
31,253,0.25,0.12379749695564471,0.12380044756248973,3.277035110576776,2.3503052991365223,0.9267298114402536
32,114,0.25,0.12379825147849721,0.12380126173567808,3.221768125796075,2.2720045011836305,0.9497636246124443
33,54,0.25,0.12379713159744687,0.12380001373734317,3.5395917547233466,2.5822779774216826,0.957313777301664
34,3,0.25,0.12379804943721247,0.1238010366897368,3.549780169623773,2.553651620926132,0.9961285486976408
35,105,0.25,0.12379924520994215,0.12380236239529013,3.5998422953303475,2.5449207700848717,1.0549215252454758
36,205,0.25,0.12379841351676521,0.12380134430376676,3.416233038887981,2.395739917891177,1.0204931209968038
37,241,0.25,0.12379826035802886,0.12380125615954318,3.2913758244725386,2.3356441435898603,0.9557316808826783
38,228,0.25,0.1237975181114548,0.12380045016843613,3.3689968235498213,2.401150926589793,0.9678458969600285
39,148,0.25,0.12379861863677927,0.12380167586912191,3.685422969453782,2.6401605797942125,1.0452623896595696
40,132,0.25,0.12379870157977646,0.1238017360232295,3.3357698609859767,2.345398272079308,0.9903715889066689
41,188,0.25,0.1237994193378283,0.1238025481428433,3.1443379386776087,2.1652783057833744,0.9790596328942343
42,110,0.25,0.12380098919868074,0.12380433900415991,3.8774217872691565,2.758166159859286,1.1192556274098706
43,154,0.25,0.12379888432619293,0.12380198740876057,3.08619780219459,2.132475858360067,0.9537219438345232
44,113,0.25,0.12379809600920044,0.12380102025853496,3.1637733293987367,2.209025892038426,0.9547474373603109
45,59,0.25,0.12379862351696469,0.12380173320646465,3.4190473748187173,2.420430701808556,0.9986166730101615
46,78,0.25,0.1238004967633934,0.12380383016218038,3.482072542899175,2.420105691529926,1.0619668513692488
47,13,0.25,0.12379943861248288,0.12380250370553506,3.8143513546140753,2.7019266674236917,1.1124246871903836
48,239,0.25,0.12379889608040279,0.12380186965685441,3.4604366912251407,2.4215938478611747,1.038842843363966
49,24,0.25,0.12380005506991293,0.12380323120579342,3.6399310891875416,2.5524837942435,1.0874472949440417
50,128,0.25,0.1237983631696203,0.12380150947990717,3.2960706068427044,2.3560585232795574,0.9400120835631469
51,92,0.25,0.12379906928954626,0.1238022561566285,3.4903958067355347,2.47818049434818,1.0122153123873545
52,150,0.25,0.12379896388135057,0.12380190346725793,3.61240839271494,2.5408371984174494,1.0715711942974906
53,23,0.25,0.12379808491372876,0.12380106859135753,3.4983659857538782,2.487757028425449,1.0106089573284294
54,16,0.25,0.12379838281247257,0.12380134092691947,3.167740064778741,2.206733486770986,0.9610065780077548
55,43,0.25,0.12379803207779877,0.12380097821477942,3.6204781349384234,2.575712463991863,1.0447656709465605
56,100,0.25,0.12379859641421241,0.12380155458674161,3.5297053730898256,2.482678041776637,1.0470273313131884
57,124,0.25,0.12379868571401777,0.12380163428693898,3.3181262291087705,2.304790652606414,1.0133355765023566
58,84,0.25,0.12379962603322126,0.12380274479132655,3.7405755888377143,2.646590991926473,1.0939845969112412
59,90,0.25,0.12379879691971966,0.12380183305716537,3.721757118694086,2.641735078449841,1.0800220402442449
60,174,0.25,0.12379701775800689,0.12379983825298377,3.255176415498397,2.306715791269937,0.9484606242284599
61,143,0.25,0.12379891109371072,0.1238019761724824,3.669829667046997,2.61256972439341,1.0572599426535874
62,71,0.25,0.12379839070108581,0.1238014206944683,3.4648203150529753,2.465997727712363,0.9988225873406122
63,87,0.25,0.12379876672556082,0.12380181361544676,3.547093793224974,2.527212512571282,1.019881280653692
64,52,0.25,0.12379878869789189,0.12380176076359677,3.398211410647548,2.3889054251460493,1.0093059855014985
65,142,0.25,0.12379806206054622,0.12380094227264343,3.3888166564308335,2.3799985299082493,1.0088181265225842
66,37,0.25,0.1237989570725688,0.12380214536500944,3.3539770279774075,2.37761513969852,0.9763618882788876
67,164,0.25,0.12379771220113789,0.12380063966063087,3.41662014230252,2.4437220659369814,0.9728980763655386
68,191,0.25,0.12379821692142176,0.12380127721336401,3.1467643428684937,2.2125440975724757,0.934220245296018
69,218,0.25,0.12380022792715184,0.12380345838384207,3.7899005567051063,2.703208888584612,1.0866916681204941
70,132,0.25,0.1237990274005617,0.12380205122082097,3.4328071506135416,2.393216871532843,1.0395902790806986
71,8,0.25,0.12379914686935294,0.12380228237182746,3.2470280491110657,2.271834828336978,0.9751932207740879
72,228,0.25,0.12379947026052888,0.1238026984201886,3.4815078468494107,2.4627033441059325,1.0188045027434782
73,192,0.25,0.12379830599586134,0.12380132321686223,3.1648764824997215,2.207254026142749,0.9576224563569724
74,117,0.25,0.123797974440084,0.12380088526811477,3.3489443855471563,2.3586650286459303,0.990279356901226
75,95,0.25,0.12379846314637553,0.12380159065305092,3.3795775296945294,2.4134566345026087,0.9661208951919207
76,33,0.25,0.12379889709423578,0.12380199969373759,3.6093311369019148,2.564623422200583,1.0447077147013317
77,63,0.25,0.12379828539435958,0.12380133790903786,3.380038748937011,2.394180887473169,0.9858578614638418
78,23,0.25,0.12379855897294223,0.12380154032892202,3.6112804724106127,2.566953386584345,1.0443270858262679
79,28,0.25,0.12379883059650239,0.12380197637502967,3.3810896313091234,2.385133270891515,0.9959563604176083
80,113,0.25,0.12379804036217815,0.12380100583293888,3.346307130272521,2.3859970415729777,0.9603100886995435
81,137,0.25,0.12379859972033269,0.12380167873179174,3.201576340149188,2.2397248155213276,0.9618515246278605
82,81,0.25,0.12379902754911604,0.1238021191753173,3.227200380186048,2.2566869558184237,0.9705134243676241
83,180,0.25,0.12379878407692635,0.12380188400256671,3.2846344553582867,2.292680744255591,0.9919537111026955
84,114,0.25,0.12379943591143892,0.12380261692573573,3.141656730965906,2.1960971188319434,0.9455596121339624
85,255,0.25,0.12379935490907851,0.12380246945951644,3.4292996542546916,2.395631335457068,1.0336683187976234
86,134,0.25,0.1237990343942074,0.12380219482100226,3.1434224698639923,2.191880127337157,0.9515423425268352
87,79,0.25,0.12379875055042118,0.12380182068708036,3.3227353928049865,2.335798695158644,0.9869366976463425
88,193,0.25,0.12380037594236842,0.12380364910193566,3.3580390443361807,2.331490737656708,1.026548306679473
89,251,0.25,0.12379880647540566,0.12380195433339655,3.3485518298998045,2.3751854960407286,0.9733663338590759
90,224,0.25,0.12379761718013589,0.1238005181265324,3.1141770054410927,2.188242463952662,0.9259345414884308
91,134,0.25,0.12379839887136945,0.12380131987117488,3.2258421346025443,2.259201311931008,0.9666408226715362
92,190,0.25,0.12379776545694127,0.12380080897573936,3.1677899909165603,2.2595074583954045,0.9082825325211559
93,229,0.25,0.12379820074319867,0.12380114712280468,3.2976928583249787,2.3123221376935135,0.9853707206314652
94,198,0.25,0.12379995017641414,0.12380323362867526,3.6329581621855596,2.5896070139143887,1.0433511482711708
95,23,0.25,0.1237997710890555,0.1238030524167389,3.5117942438878913,2.49315996774169,1.0186342761462015
96,199,0.25,0.12379813815824747,0.12380110646556551,3.2390368826759186,2.2916757575262636,0.947361125149655
97,14,0.25,0.12379867086943644,0.12380183715197184,3.298457821161719,2.3481207178884063,0.9503371032733128
98,39,0.25,0.12379827662453749,0.12380142685178427,3.369200065850066,2.430089453585083,0.939110612264983
99,112,0.25,0.12379853090460734,0.12380155515257682,3.1956026136813875,2.228696448606513,0.9669061650748745
100,217,0.25,0.12379839792368015,0.12380147913595,3.2596584873807615,2.300704384508151,0.9589541028726103
101,5,0.25,0.1237989151247635,0.12380197717534264,3.2819006327684974,2.2897376307731463,0.9921630019953511
102,64,0.25,0.12380009659614673,0.12380345689701366,3.536482253855354,2.519643649946744,1.0168386039086101
103,78,0.25,0.12380005813421463,0.12380333622636636,3.633150562497235,2.570565144698122,1.062585417799113
104,220,0.25,0.12379794325599146,0.12380085569523294,3.735045014193588,2.6887466229559607,1.0462983912376274
105,7,0.25,0.12379892728780931,0.12380197711966281,3.240631390696592,2.255189112122167,0.9854422785744248
106,151,0.25,0.12379830918944955,0.12380122628019916,3.1612478670499513,2.195689353343397,0.9655585137065543
107,209,0.25,0.12379779875504685,0.12380059113139891,3.1819447149148914,2.2247048936189344,0.957239821295957
108,167,0.25,0.12379855762325509,0.12380154798499265,3.857362858400336,2.7694523556157264,1.0879105027846094
109,20,0.25,0.12379886330893769,0.12380204332207922,3.45713284488329,2.457922335317761,0.999210509565529
110,15,0.25,0.123798916121843,0.1238020047803165,3.3320972377305225,2.331730154380267,1.0003670833502554
111,141,0.25,0.12379768304617003,0.12380058561271143,2.964208951460705,2.067563846262317,0.8966451051983881
112,40,0.25,0.12380004736302516,0.12380336179679359,3.533296133210115,2.4932924118162987,1.0400037213938162
113,247,0.25,0.12379916582113823,0.1238023564212439,3.5622145186767966,2.537838733547005,1.0243757851297914
114,8,0.25,0.12379756204447531,0.12380044855325842,3.1256644355967182,2.1990954249623087,0.9265690106344096
115,120,0.25,0.12379795513533845,0.12380082388424417,3.0471348433437697,2.1162838931867327,0.930850950157037
116,30,0.25,0.12379961732379241,0.12380281262527151,3.2654652512646862,2.268646777834306,0.9968184734303804
117,79,0.25,0.12379980840247405,0.12380295319651988,3.4290169974534024,2.379102735082597,1.0499142623708053
118,92,0.25,0.12379824348973605,0.12380117729871225,3.2422321447804165,2.257041361264328,0.9851907835160887
119,219,0.25,0.1237978183653578,0.12380074529705049,3.2950467260639584,2.3280175197303095,0.967029206333649
120,205,0.25,0.1237974358527755,0.1238003621336947,3.269391944745223,2.349914707315321,0.9194772374299021
121,189,0.25,0.12379826741190772,0.12380119583225072,3.3353185099014127,2.3400385981448437,0.9952799117565689
122,26,0.25,0.12380019696449053,0.1238035243645313,3.946986431898324,2.8200717445147916,1.1269146873835325
123,35,0.25,0.12379977171022172,0.12380294769859237,3.1720354819782415,2.1807314587112216,0.9913040232670198
124,188,0.25,0.12379821730751048,0.12380120937633228,3.1920220646916846,2.2486261615629815,0.9433959031287031
125,110,0.25,0.12379855182177493,0.12380152630135925,3.359855183250886,2.375219676179114,0.984635507071772
126,213,0.25,0.12379850880183088,0.12380146135782932,3.422929754724123,2.386251467320335,1.036678287403788
127,91,0.25,0.12379901567837386,0.12380215418355928,3.1007616276260137,2.1555407500412684,0.9452208775847453
128,26,0.25,0.12379898673085975,0.12380197899260838,3.818066115049305,2.715386455041056,1.1026796600082491
129,205,0.25,0.12379764191953754,0.12380070920867227,3.673652143480183,2.6926111764041707,0.9810409670760123
130,58,0.25,0.12379937778751177,0.12380260703930804,3.7420309714755717,2.697357379131091,1.0446735923444805
131,125,0.25,0.12380004048113027,0.12380331320515425,3.427679418165269,2.410446933340552,1.0172324848247172
132,24,0.25,0.12379818202810991,0.12380110351248519,3.377271230960389,2.3873195907936235,0.9899516401667654
133,107,0.25,0.12379799826050164,0.12380111495331542,3.282185555520016,2.378253227608525,0.903932327911491
134,122,0.25,0.12379983855203355,0.12380310149235292,3.3469172536075007,2.330720456923274,1.016196796684227
135,107,0.25,0.1237979850451434,0.12380095906811098,3.384370756199985,2.417634395576016,0.966736360623969
136,242,0.25,0.12379914976829345,0.12380226942112232,3.2623978631691557,2.2617564584444665,1.0006414047246892
137,185,0.25,0.12380027212621302,0.12380366625169528,3.5813546194429478,2.534567721592083,1.0467868978508648
138,150,0.25,0.12379918194070032,0.12380225499417612,3.301433627103563,2.309908344526093,0.9915252825774701
139,249,0.25,0.12379802763914961,0.12380091568543206,3.3424469932372176,2.363961392038817,0.9784856011984004
140,109,0.25,0.12379908562010972,0.12380229782057521,3.3897276160848264,2.4061353935043996,0.9835922225804268
141,162,0.25,0.12379898043929827,0.12380202897617433,3.5226570438232443,2.4968435683586847,1.0258134754645596
