rep,truth_draw,truth_fmiss_rep,f_post_mean_mu,f_post_mean_gr,delta_lpd_total,delta_lpd_data,delta_lpd_sel
0,246,,0.12379760931875546,0.12380048931505216,3.1135123581050834,2.2069525959565226,0.9065597621485608
1,213,,0.1237987025556931,0.12380172370599334,3.389911698991284,2.4068004850029183,0.9831112139883658
2,186,,0.12379877851210065,0.12380186949670198,3.214938494488365,2.2423147763476834,0.9726237181406816
3,222,,0.123798833388372,0.12380199163993072,3.215273978494565,2.26771484999702,0.9475591284975451
4,56,,0.12379870896643813,0.12380181488721997,3.077777135174472,2.1501578191632404,0.9276193160112314
5,55,,0.123799466036494,0.12380269796525871,3.25319317805247,2.2866772895584973,0.9665158884939729
6,199,,0.12379813100710227,0.12380109698333808,3.6939393374774454,2.6438118482352877,1.0501274892421577
7,58,,0.12379890515156039,0.12380188593081749,3.2638047766717477,2.2613042547194766,1.0025005219522711
8,150,,0.12379943050194622,0.12380259965597537,3.2949790581240563,2.2861588080085085,1.0088202501155479
9,126,,0.12379806896568858,0.12380103475799673,3.526874905151999,2.520411073223954,1.0064638319280448
10,86,,0.12379701474796745,0.12379985650187865,3.3943239116500195,2.4637068417971193,0.9306170698529002
11,192,,0.12379808756824999,0.12380107529026091,3.3061628935067233,2.3536854536617113,0.952477439845012
12,130,,0.12379812374765439,0.12380113338750912,3.169955434152996,2.225946489664665,0.9440089444883313
13,180,,0.12379905797645292,0.12380204526664579,3.9091480472798708,2.803289018677276,1.1058590286025947
14,30,,0.12379888923437875,0.12380190245544603,3.2714970223296973,2.277397594378783,0.9940994279509141
15,242,,0.12379923843894507,0.12380243543201672,3.5845351547147857,2.5427389230787014,1.0417962316360843
16,200,,0.12379866518216831,0.12380184027147408,3.337569732833117,2.369246667828122,0.968323065004995
17,17,,0.12379821785414327,0.12380131776758524,3.624404901387095,2.633853815119437,0.9905510862676579
18,176,,0.12379799738864883,0.12380100979491156,3.272592310542393,2.31510286121312,0.9574894493292732
19,125,,0.12379931332274517,0.12380245027250382,3.446731451141659,2.4268672837022223,1.0198641674394366
20,90,,0.1237997371184833,0.12380298460983037,3.5544559423223063,2.5073253236189146,1.0471306187033917
21,86,,0.12379920342397373,0.12380238504338381,3.276443870115486,2.3108552975165537,0.9655885725989322
22,102,,0.12379836419969571,0.12380136314690506,3.39937737189922,2.401324487577824,0.998052884321396
23,154,,0.12379825965041306,0.12380128910139908,3.177285716650829,2.2410760569254364,0.9362096597253924
24,3,,0.12379751341780292,0.12380044921549671,3.3539189428821032,2.420558720499656,0.9333602223824471
25,10,,0.12379796521990238,0.12380089010112455,3.164367320871861,2.218660398671318,0.945706922200543
26,106,,0.12379912818223501,0.1238022652580189,3.652957736816461,2.5988521331614436,1.0541056036550174
27,87,,0.12379741491529506,0.1238002574431013,3.519667062327187,2.5485879836190577,0.9710790787081294
28,177,,0.12379826205712245,0.1238012960296534,3.414944065881059,2.452600767116195,0.9623432987648641
29,20,,0.12379855639636991,0.12380166555288245,3.3872334857238116,2.3988610222359625,0.988372463487849
30,125,,0.12379733579622063,0.12380019340950862,3.651301646509012,2.658947815751816,0.992353830757196
31,248,,0.12379803192740516,0.12380104043168966,3.088177134480361,2.1641469163443787,0.9240302181359823
32,250,,0.12379709865552402,0.12379988298742525,3.1516781437946406,2.2466331557856165,0.9050449880090241
33,150,,0.1237991434316788,0.12380224265359234,3.3835254118865237,2.3762047449916395,1.0073206668948842
34,64,,0.12379799043012349,0.12380095215710687,3.104457934409197,2.165056028350591,0.9394019060586061
35,129,,0.1237990954156612,0.12380221073138634,3.1837411420748367,2.1920026411865763,0.9917385008882604
36,196,,0.12379801722093314,0.12380099661687222,3.475689805604702,2.501011750618318,0.9746780549863843
37,251,,0.12379753419581423,0.1238004021464506,3.248918808381802,2.308818608179479,0.9401002002023233
38,167,,0.12379936206455637,0.12380257168695866,3.3706680156613515,2.3621276864878666,1.008540329173485
39,94,,0.12379774252411319,0.1238007873709158,3.6485907611406674,2.677109333055057,0.9714814280856103
