rep,group,n_ev,delta_lpd_total,delta_lpd_data,delta_lpd_sel
0,dist_low,12,0.46032553280036836,-0.003497717054955274,0.46382324985532364
0,dist_mid,12,2.36506066416716,2.103023907684417,0.26203675648274327
0,dist_high,12,2.350168834002517,1.902414277227031,0.4477545567754859
0,sky_small,18,0.516482685371983,-0.12065969566803858,0.6371423810400216
0,sky_large,18,3.6070576342800535,3.0435102556088083,0.5635473786712453
1,dist_low,12,2.6198911407928875,2.3322477529528953,0.2876433878399922
1,dist_mid,12,0.4010415650647019,-0.045648032341773614,0.4466895974064755
1,dist_high,12,2.123759048553751,1.667298126194595,0.45646092235915603
1,sky_small,18,0.4082946045064375,-0.23106666394238573,0.6393612684488232
1,sky_large,18,3.6480759449409703,3.0723395297952294,0.5757364151457409
2,dist_low,12,-0.22921576797124033,-0.6524239603110971,0.42320819233985674
2,dist_mid,12,1.8239466367708843,1.3857642194262851,0.4381824173445992
2,dist_high,12,2.8647265669580264,2.5341753566296177,0.33055121032840873
2,sky_small,18,0.787455869019027,0.19542146502908508,0.5920344039899419
2,sky_large,18,3.55399099227013,3.0036562197721963,0.5503347724979335
3,dist_low,12,2.7508652932622795,2.4878760232304984,0.2629892700317811
3,dist_mid,12,0.6437335856935391,0.18146654354478642,0.4622670421487527
3,dist_high,12,2.181544464729612,1.7400724005157997,0.44147206421381213
3,sky_small,18,0.7928771618205133,0.12651847679339312,0.6663586850271201
3,sky_large,18,3.482949747744371,2.933775083216915,0.549174664527456
4,dist_low,12,2.838139445724053,2.5483679478982992,0.28977149782575395
4,dist_mid,12,1.1883078042954764,0.7988011340833339,0.3895066702121426
4,dist_high,12,0.8141629629664919,0.332212321834362,0.48195064113212993
4,sky_small,18,0.07992182739647546,-0.5172477892740943,0.5971696166705698
4,sky_large,18,3.5297622401095623,2.9720052939212707,0.5577569461882916
5,dist_low,12,2.7332553059313653,2.451467641913112,0.2817876640182533
5,dist_mid,12,0.16362351867137193,-0.28555852885457966,0.4491820475259516
5,dist_high,12,1.7017567200192047,1.2769949658503847,0.42476175416882
5,sky_small,18,0.10022048213073731,-0.49991605261590166,0.600136534746639
5,sky_large,18,3.4542888533605804,2.906879753296522,0.5474091000640584
6,dist_low,12,1.2877133628132924,0.9016821543329172,0.3860312084803752
6,dist_mid,12,0.7561387867289113,0.2844422763157297,0.4716965104131816
6,dist_high,12,2.3619476718902632,2.08226864697599,0.2796790249142731
6,sky_small,18,-0.1634952781768959,-0.7330914651631701,0.5695961869862742
6,sky_large,18,3.396841565299937,2.8739939738566704,0.5228475914432664
7,dist_low,12,1.616972459159129,1.2058531879439869,0.41111927121514213
7,dist_mid,12,2.7811016546368563,2.455670277863959,0.32543137677289735
7,dist_high,12,1.5057369930216993,1.0184630078853445,0.4872739851363548
7,sky_small,18,1.3846802129810953,0.6875628530051614,0.6971173599759339
7,sky_large,18,3.624989256333464,3.0607315057524715,0.5642577505809925
8,dist_low,12,-0.17761238771343812,-0.5979092830599058,0.42029689534646764
8,dist_mid,12,3.3455343356344684,2.9908530892194847,0.3546812464149838
