rep,truth_draw,truth_fmiss_rep,f_post_mean_mu,f_post_mean_gr,delta_lpd_total,delta_lpd_data,delta_lpd_sel
0,196,,0.12379803539323403,0.12380099574095842,3.6778222639759974,2.6396537414679813,1.0381685225080162
1,213,,0.12379802875262122,0.12380105452915481,3.9295216577687597,2.8480479748889422,1.0814736828798175
2,31,,0.12379871424834861,0.12380171245980576,3.1322251371557286,2.1487955006031996,0.983429636552529
3,152,,0.12379826514624369,0.12380113889161884,3.3834686333000263,2.3498749781902575,1.0335936551097689
4,20,,0.12379878099190109,0.12380194695367533,3.581569874196248,2.5588569370853804,1.0227129371108674
5,73,,0.12379816957279637,0.12380101725284949,3.429734247812803,2.3944719504746956,1.0352622973381074
6,113,,0.12379754747206254,0.12380050417753666,3.5955474559329446,2.5870342162928637,1.0085132396400809
7,10,,0.12379915859531745,0.1238022550956394,3.522889717971566,2.453119961230982,1.069769756740584
8,150,,0.12379870432177634,0.12380175113853754,3.0711621090488848,2.125529115853965,0.9456329931949199
9,249,,0.12380021277560863,0.12380351529301728,3.9745640848216794,2.832701585484841,1.1418624993368383
10,242,,0.12379906504881044,0.12380195812033924,4.297944624681122,3.085030273862486,1.212914350818636
11,152,,0.12379883837355968,0.12380191981409663,3.6157376286392946,2.577570280798028,1.0381673478412665
12,105,,0.12379872533293346,0.123801781288355,3.2910858241778556,2.2923827837307726,0.9987030404470829
13,202,,0.12379835946654086,0.12380136569564495,3.106953554333984,2.1436456852986794,0.9633078690353045
14,236,,0.12379943956750758,0.12380239929598419,3.898268353572064,2.7309928053901444,1.1672755481819195
15,233,,0.12379760354059348,0.12380048255088111,3.346840499195082,2.359302014659022,0.98753848453606
16,0,,0.1237972560404399,0.12380021066332056,3.700361702594421,2.7386374672134366,0.9617242353809843
17,176,,0.12379896200880142,0.12380200204720299,3.663271775700082,2.576224189775189,1.0870475859248927
18,184,,0.12379887139122495,0.12380200644769665,3.895119023526888,2.798067913684264,1.0970511098426243
19,48,,0.12379820231326717,0.12380104876498724,3.3183980196628227,2.318638509048327,0.9997595106144956
20,129,,0.12379918654947049,0.12380233368321411,3.712551495523485,2.645497820273249,1.0670536752502358
21,251,,0.12379768937404562,0.12380067019551272,3.592097640444763,2.6049206143451897,0.9871770260995731
22,175,,0.12379904442054894,0.12380208597737198,3.869718840517635,2.7741806484024494,1.0955381921151854
23,72,,0.12379857381084715,0.12380158606675715,3.4560126289674713,2.429025369099776,1.0269872598676955
24,82,,0.12379903528631751,0.12380220468064106,4.064417690254402,2.9578831976368463,1.1065344926175555
25,161,,0.12379901945792642,0.12380222878104073,3.560372281666446,2.540862679746823,1.0195096019196228
26,37,,0.12379907640173851,0.12380215157877522,3.8547476948685357,2.754894267786767,1.0998534270817686
27,148,,0.12379718653725752,0.12380000294628546,3.439392797339906,2.4562466128400047,0.9831461844999012
