rep,truth_draw,truth_fmiss_rep,f_post_mean_mu,f_post_mean_gr,delta_lpd_total,delta_lpd_data,delta_lpd_sel
0,214,,0.9418417176969196,0.9418417183325938,0.9247703496461668,-0.0810285756671334,1.0057989253133002
1,66,,0.9418417186310709,0.9418417192050402,0.9477173164522164,-0.03530956850846678,0.9830268849606831
2,27,,0.9418417182027286,0.9418417187351918,0.37855052871976014,-0.5218649925505332,0.9004155212702933
3,76,,0.9418417163401542,0.9418417169616596,0.6001131561137321,-0.32354275648170017,0.9236559125954322
4,105,,0.9418417189283601,0.9418417194453848,0.7358497102987407,-0.19474993608677948,0.9305996463855202
5,208,,0.9418417175062967,0.9418417181389108,0.27214583659069547,-0.6316959396275053,0.9038417762182007
6,115,,0.9418417188608786,0.9418417193998585,0.5984428110954525,-0.3169443411261028,0.9153871522215553
7,23,,0.9418417188097281,0.9418417193839131,0.5752237959622768,-0.37357416372314844,0.9487979596854252
8,85,,0.9418417183291619,0.9418417188660354,0.2368699299611805,-0.6450286531661931,0.8818985831273736
9,153,,0.9418417188431716,0.9418417193651255,0.5397824517754835,-0.37961123811172115,0.9193936898872046
10,208,,0.9418417193868819,0.9418417199069028,1.0520621067627864,0.05620926801088899,0.9958528387518975
11,186,,0.941841718243701,0.9418417188066082,0.8443201067554718,-0.140231480590856,0.9845515873463278
12,254,,0.9418417166754768,0.9418417174074706,0.5909198305265093,-0.373711207495262,0.9646310380217713
13,48,,0.9418417180087724,0.9418417186385989,1.1858969597405498,0.17397097183261678,1.011925987907933
14,225,,0.9418417184371665,0.9418417190187065,0.4219705689903748,-0.4928969130829728,0.9148674820733476
15,14,,0.9418417185626683,0.9418417192278375,1.4321888848245123,0.3298758121551373,1.102313072669375
16,142,,0.9418417179274773,0.941841718506755,0.420361158784921,-0.47830255061992943,0.8986637094048504
17,70,,0.9418417183416445,0.9418417188984428,0.7608525481758939,-0.20465212983290826,0.9655046780088021
18,51,,0.9418417186936671,0.9418417192090315,0.9183429618149361,-0.05606372614184352,0.9744066879567796
19,168,,0.9418417180267451,0.9418417185626373,-0.011305153402460633,-0.8626252768518583,0.8513201234493977
20,78,,0.9418417186528018,0.941841719267617,1.067579080038815,0.08660471593418606,0.9809743641046289
21,143,,0.9418417179428998,0.9418417184815991,0.1645531305457162,-0.7123322427247558,0.876885373270472
22,66,,0.9418417185590978,0.9418417192391169,1.6954818922672672,0.5664960049063268,1.1289858873609404
23,38,,0.9418417187208432,0.9418417193040522,0.5886818273770764,-0.3334177320159739,0.9220995593930503
24,191,,0.9418417174401449,0.9418417179754682,0.5900713812919491,-0.3406366959056015,0.9307080771975507
25,110,,0.9418417185610818,0.9418417191241318,0.9238135841930202,-0.05735174366269291,0.9811653278557131
26,173,,0.9418417192317382,0.9418417198172561,1.329514198419389,0.2581595771636671,1.071354621255722
27,171,,0.9418417179116942,0.9418417184464912,0.17136953324152415,-0.7200593449741461,0.8914288782156703
28,241,,0.941841715665509,0.9418417162434893,0.2998767412289709,-0.6055585855601322,0.9054353267891031
29,108,,0.9418417183512909,0.9418417189093388,0.7721442720322784,-0.18359179140281867,0.9557360634350971
30,56,,0.9418417172472181,0.9418417177874272,0.6444583594456255,-0.2962688867519745,0.9407272461976
31,162,,0.941841717752795,0.9418417184023576,0.28547674871177264,-0.6146349821921433,0.9001117309039159
32,239,,0.9418417191602763,0.9418417196952433,0.7955526851869088,-0.15432142056685905,0.9498741057537679
33,247,,0.9418417185631538,0.9418417191139334,0.6651837396930667,-0.29361134685414925,0.9587950865472159
34,222,,0.9418417185733813,0.9418417191444922,1.0627323054383275,0.040006546608054805,1.0227257588302727
35,174,,0.9418417189923866,0.9418417196485498,1.5967619678610454,0.47910888953765607,1.1176530783233893
36,97,,0.9418417191086056,0.94184171958542,0.6507108375288553,-0.287449835141274,0.9381606726701293
37,100,,0.9418417126694185,0.9418417134652113,1.2375974759593689,0.20012421473737163,1.0374732612219972
38,10,,0.9418417183907151,0.9418417189374235,0.34865607297188816,-0.542341252796021,0.8909973257679091
39,47,,0.941841717916204,0.9418417185146218,0.5683188851489049,-0.37683451761039066,0.9451534027592956
40,85,,0.941841718012814,0.941841718611267,0.314885576796474,-0.5799284867558043,0.8948140635522783
41,88,,0.9418417173218436,0.9418417179894386,0.8750718895970486,-0.09070299551888183,0.9657748851159305
42,148,,0.9418417191154212,0.9418417196953759,0.9207095418518172,-0.07550364963063316,0.9962131914824504
43,130,,0.941841717638153,0.9418417182408538,0.6894059724529349,-0.2574829599631414,0.9468889324160763
44,177,,0.9418417182102234,0.9418417187887681,0.5050549839704139,-0.412974877166306,0.9180298611367199
45,228,,0.9418417179182563,0.9418417185311545,0.5859243077189085,-0.3440906893488318,0.9300149970677403
46,224,,0.9418417183677334,0.9418417189420889,0.3548823253256117,-0.5370189196111141,0.8919012449367258
47,198,,0.9418417185366804,0.9418417191295441,0.27173529106230987,-0.6165640379478816,0.8882993290101915
48,250,,0.9418417181954002,0.9418417187745238,0.6401510884437585,-0.3099949308241605,0.950146019267919
