rep,truth_draw,truth_fmiss_rep,f_post_mean_mu,f_post_mean_gr,delta_lpd_total,delta_lpd_data,delta_lpd_sel
0,79,,0.12380679056751208,0.12381318890501136,4.6763994979186805,3.295242442400138,1.3811570555185426
1,241,,0.12380750424516979,0.12381400583946042,4.51641558089068,3.0593188673437055,1.4570967135469743
2,178,,0.12380626352134437,0.123812321187718,4.391312066156786,2.978594710453308,1.412717355703478
3,92,,0.12380703067852561,0.12381335027148518,4.555953484619408,3.143958577841204,1.4119949067782045
4,34,,0.12380894815897109,0.1238162005009919,4.816179778146932,3.3002621486257624,1.5159176295211694
5,200,,0.12380725920533397,0.12381389568522704,4.638257818412626,3.2022777342592406,1.4359800841533854
6,102,,0.12381002652907863,0.12381775268997441,4.7285168839721905,3.2411888352163487,1.4873280487558418
7,151,,0.1238057131276673,0.12381170741889395,4.3769132083378395,3.0345458513691312,1.3423673569687082
8,158,,0.12380581296634748,0.12381184636752612,4.35488072508258,2.9948951538747224,1.359985571207858
9,75,,0.12380667943762588,0.12381296862573726,4.409388139380098,3.035669576631193,1.3737185627489055
10,93,,0.12380906013014212,0.123816224722092,4.751210960602236,3.289355786909283,1.4618551736929533
11,236,,0.12380569831759877,0.12381185977550843,4.380404237518292,3.022697948436331,1.3577062890819604
12,198,,0.12380748377634691,0.12381381100926692,4.686622585280247,3.266722506353659,1.419900078926588
13,222,,0.12380975125033834,0.12381679633519554,4.630971250442656,3.196516045265895,1.4344552051767607
14,34,,0.12380614292401323,0.12381237046170507,4.441954929346025,3.0565878043985606,1.3853671249474644
15,93,,0.12380686166408768,0.12381343637376518,4.455714952031599,3.055625462549301,1.4000894894822977
16,18,,0.12380711656889032,0.12381370965492249,4.61099309451015,3.207743945005717,1.4032491495044326
17,249,,0.12380751271612309,0.12381391540420648,4.439316485314578,3.0109724319335385,1.4283440533810392
18,169,,0.1238066373906139,0.12381284409791939,4.565538770434216,3.1476602694266944,1.4178785010075217
19,57,,0.12380820082545563,0.1238151138195642,4.717704753102055,3.250234060307662,1.467470692794393
20,208,,0.12380768774033098,0.12381436045675277,4.469995663444877,3.0581290945994226,1.4118665688454541
21,206,,0.12380612581934422,0.12381223395307195,4.417294821826488,2.9963689271651504,1.4209258946613375
22,82,,0.12380716861747941,0.12381359289541777,4.498023916585737,3.087165566618637,1.4108583499671
