rep,truth_draw,delta_lpd_total,delta_lpd_data,delta_lpd_sel
0,217,3.469874333194298,2.4493613202600386,1.0205130129342592
1,163,4.338119808573481,3.1521254390847275,1.1859943694887534
2,130,3.4834351015272773,2.4817594399109737,1.0016756616163036
3,69,3.6032949606586726,2.5592064203704297,1.044088540288243
4,78,3.2965958506751463,2.2967961942526074,0.9997996564225389
5,10,3.494767238333054,2.4854952803361527,1.0092719579969014
6,19,3.414085152743837,2.4080503768487915,1.0060347758950456
7,4,4.339157052168275,3.1284276277595495,1.2107294244087257
8,44,3.339559624842707,2.379387343923696,0.9601722809190107
9,208,3.5883433940571763,2.5213508786425223,1.066992515414654
10,166,3.2677111741235763,2.299879015437938,0.9678321586856384
11,233,3.4392771593276734,2.4822857019855746,0.9569914573420988
12,128,3.4617481267600283,2.470131073981804,0.9916170527782242
13,155,3.351713370758148,2.393590089783629,0.9581232809745188
14,248,3.1124153185234036,2.195675654444784,0.9167396640786194
15,186,4.00884927778435,2.891912229627053,1.1169370481572969
16,161,3.4567523012236165,2.4255349415509784,1.0312173596726382
17,139,3.297618445469709,2.3268400761047303,0.9707783693649787
18,143,3.9502281162141344,2.851331904466349,1.0988962117477854
19,239,3.5738453849971847,2.551851284646318,1.0219941003508666
20,71,3.918194651271108,2.8176215601309593,1.1005730911401486
21,208,3.299276783264247,2.353013906671265,0.9462628765929821
22,171,3.710836076890132,2.6366431563804156,1.0741929205097165
23,0,3.306026460130795,2.3139459004596574,0.9920805596711375
24,100,3.4329112240585005,2.4172936851807094,1.015617538877791
25,219,3.660802062124901,2.6907356458189042,0.9700664163059969
26,141,3.750762924674632,2.6858893860439252,1.0648735386307067
27,8,3.34219659996171,2.359669481554789,0.9825271184069209
28,195,3.5385870469363567,2.5608527879278142,0.9777342590085425
29,186,3.646979825264964,2.6159577547893775,1.0310220704755864
30,216,3.843362656756028,2.768915729552873,1.0744469272031552
31,44,3.4255307184076287,2.4331974958786304,0.9923332225289982
32,22,3.2208021191214016,2.2604879386506695,0.960314180470732
33,220,3.744814728486972,2.6789645078033857,1.0658502206835863
34,5,3.069037638577811,2.155005281375878,0.9140323572019327
35,138,3.343128686836053,2.3544817704518834,0.9886469163841696
36,20,3.550889803587495,2.471096916487056,1.0797928871004387
37,76,3.431274605000567,2.454127740038473,0.9771468649620942
38,123,4.101930437893316,2.9694255970753716,1.1325048408179441
39,108,3.3380646802103797,2.3435803332979788,0.994484346912401
40,103,3.3119077175591656,2.343654641368289,0.9682530761908765
41,7,3.4581596442274076,2.492863197122233,0.9652964471051746
42,1,3.428930698438762,2.471498862209586,0.9574318362291763
43,31,3.3152329571443033,2.3541930906585264,0.9610398664857769
44,2,3.6382939468903146,2.5830141654352303,1.0552797814550843
