tier,radius_arcsec,k_gate,median_shift_over_true,max_event_shift_over_true,ratios_by_event
A,15.0,20000,0.10472028855298861,0.12451089642865307,"{""GW200219_094415"": 0.044878256346195904, ""GW200220_061928"": 0.10472028855298861, ""GW200308_173609"": 0.12451089642865307}"
A,20.0,20000,0.17829768569149762,0.20419267718077466,"{""GW200219_094415"": 0.07636858422415672, ""GW200220_061928"": 0.17829768569149762, ""GW200308_173609"": 0.20419267718077466}"
A,30.0,20000,0.3264045226527839,0.3719435848318151,"{""GW200219_094415"": 0.16100156066746105, ""GW200220_061928"": 0.3264045226527839, ""GW200308_173609"": 0.3719435848318151}"
A,45.0,20000,0.5487451333348341,0.5954526340756303,"{""GW200219_094415"": 0.27636611968559455, ""GW200220_061928"": 0.5487451333348341, ""GW200308_173609"": 0.5954526340756303}"
A,60.0,20000,0.7321918598107895,0.760419812803021,"{""GW200219_094415"": 0.4078717369425389, ""GW200220_061928"": 0.7321918598107895, ""GW200308_173609"": 0.760419812803021}"
B,15.0,20000,0.10459400682617398,0.12453981677862688,"{""GW200219_094415"": 0.04318319276805755, ""GW200220_061928"": 0.10459400682617398, ""GW200308_173609"": 0.12453981677862688}"
B,20.0,20000,0.17809502755990433,0.20401935972858465,"{""GW200219_094415"": 0.07341142774470508, ""GW200220_061928"": 0.17809502755990433, ""GW200308_173609"": 0.20401935972858465}"
B,30.0,20000,0.32608702067253215,0.37124831117426393,"{""GW200219_094415"": 0.15485406148228376, ""GW200220_061928"": 0.32608702067253215, ""GW200308_173609"": 0.37124831117426393}"
B,45.0,20000,0.5487967827274955,0.594140937445558,"{""GW200219_094415"": 0.27042696009813005, ""GW200220_061928"": 0.5487967827274955, ""GW200308_173609"": 0.594140937445558}"
B,60.0,20000,0.7320987654298488,0.7595046645445291,"{""GW200219_094415"": 0.40083801326564905, ""GW200220_061928"": 0.7320987654298488, ""GW200308_173609"": 0.7595046645445291}"
C,15.0,20000,0.17553917618557258,0.17692501445787287,"{""GW200219_094415"": 0.0441978282171887, ""GW200220_061928"": 0.17692501445787287, ""GW200308_173609"": 0.17553917618557258}"
C,20.0,20000,0.28510746199443293,0.2918800126680518,"{""GW200219_094415"": 0.0751355352592987, ""GW200220_061928"": 0.2918800126680518, ""GW200308_173609"": 0.28510746199443293}"
C,30.0,20000,0.49552402710605925,0.4991600149539728,"{""GW200219_094415"": 0.1570308604549276, ""GW200220_061928"": 0.49552402710605925, ""GW200308_173609"": 0.4991600149539728}"
C,45.0,20000,0.7255475110147103,0.7459877592521215,"{""GW200219_094415"": 0.2734668473742888, ""GW200220_061928"": 0.7459877592521215, ""GW200308_173609"": 0.7255475110147103}"
C,60.0,20000,0.8694367203747121,0.9057174233345299,"{""GW200219_094415"": 0.40396594451620527, ""GW200220_061928"": 0.9057174233345299, ""GW200308_173609"": 0.8694367203747121}"
