event,tier,radius_arcsec,k,frac_weight_conflict_true
GW200308_173609,A,1.0,20000,0.0008913034520729786
GW200308_173609,A,2.0,20000,0.001256235559987143
GW200308_173609,A,3.0,20000,0.001577469489651808
GW200308_173609,A,5.0,20000,0.0018260518526438398
GW200308_173609,A,10.0,20000,0.002587125844844753
GW200308_173609,A,15.0,20000,0.004039936005483075
GW200308_173609,A,20.0,20000,0.005726749142714604
GW200308_173609,A,30.0,20000,0.011271992777971153
GW200308_173609,A,45.0,20000,0.02310306968321761
GW200308_173609,A,60.0,20000,0.03946400799137004
GW200220_061928,A,1.0,100000,0.002821577485824372
GW200220_061928,A,2.0,100000,0.003757131286225517
GW200220_061928,A,3.0,100000,0.004239012791901459
GW200220_061928,A,5.0,100000,0.004959763782431252
GW200220_061928,A,10.0,100000,0.0076086102824031365
GW200220_061928,A,15.0,100000,0.01097956439076227
GW200220_061928,A,20.0,100000,0.014564981451376881
GW200220_061928,A,30.0,100000,0.02499420045159528
GW200220_061928,A,45.0,100000,0.045297196939821295
GW200220_061928,A,60.0,100000,0.07193543422807716
GW200219_094415,A,1.0,200000,0.0009091946143061962
GW200219_094415,A,2.0,200000,0.0014281912606835645
GW200219_094415,A,3.0,200000,0.0017253145274809185
GW200219_094415,A,5.0,200000,0.001965952020342426
GW200219_094415,A,10.0,200000,0.0027083269949899685
GW200219_094415,A,15.0,200000,0.004160266527530439
GW200219_094415,A,20.0,200000,0.006077280445813361
GW200219_094415,A,30.0,200000,0.012015200458707388
GW200219_094415,A,45.0,200000,0.026001265159537417
GW200219_094415,A,60.0,200000,0.04607024079812258
GW200208_130117,A,1.0,5000,0.0
GW200208_130117,A,2.0,5000,0.0
GW200208_130117,A,3.0,5000,0.0
GW200208_130117,A,5.0,5000,0.0
GW200208_130117,A,10.0,5000,0.0
GW200208_130117,A,15.0,5000,0.0
GW200208_130117,A,20.0,5000,0.0
GW200208_130117,A,30.0,5000,5.7500149971332785e-05
GW200208_130117,A,45.0,5000,0.00016777756346985563
GW200208_130117,A,60.0,5000,0.00045533818709952805
GW191230_180458,A,1.0,200000,0.0005087122417133478
GW191230_180458,A,2.0,200000,0.00053179697321304
GW191230_180458,A,3.0,200000,0.0005350608191700852
GW191230_180458,A,5.0,200000,0.0005552383701861307
GW191230_180458,A,10.0,200000,0.0006167510608628048
GW191230_180458,A,15.0,200000,0.0007431400910553762
GW191230_180458,A,20.0,200000,0.0009497042954653619
GW191230_180458,A,30.0,200000,0.0014241064191190317
GW191230_180458,A,45.0,200000,0.002859703437273531
GW191230_180458,A,60.0,200000,0.005238596819604803
