tier,best_radius_arcsec,best_k,median_frac_weight_true_gate_events,gate_events
A,10.0,20000,0.061397504157408696,"[""GW200308_173609"", ""GW200220_061928"", ""GW200219_094415""]"
A,10.0,20000,,
A,10.0,100000,,
A,10.0,200000,,
B,10.0,20000,0.061495065440575744,"[""GW200308_173609"", ""GW200220_061928"", ""GW200219_094415""]"
B,10.0,20000,,
B,10.0,100000,,
B,10.0,200000,,
C,10.0,20000,0.06462195613694222,"[""GW200308_173609"", ""GW200220_061928"", ""GW200219_094415""]"
C,10.0,20000,,
C,10.0,100000,,
C,10.0,200000,,
