label,run_dir,highz_bias_frac,local_bias,anchor_gr_relief,anchor_gr_gap_sigma,posterior_h0_relief,out_dir
M0_start101__hb-0p0030__lb-0p250,outputs/finalization/highpower_multistart_v2/M0_start101,-0.003,-0.25,0.173302477181017,1.213955094250321,0.5335183432124124,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_20260209_061632UTC/cases/M0_start101__hb-0p0030__lb-0p250
M0_start101__hb-0p0030__lb+0p000,outputs/finalization/highpower_multistart_v2/M0_start101,-0.003,0.0,0.17203928820283476,1.2841020587578282,0.5335183432124124,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_20260209_061632UTC/cases/M0_start101__hb-0p0030__lb+0p000
M0_start101__hb-0p0030__lb+0p250,outputs/finalization/highpower_multistart_v2/M0_start101,-0.003,0.25,0.17151804170292673,1.3548870533369508,0.5335183432124124,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_20260209_061632UTC/cases/M0_start101__hb-0p0030__lb+0p250
M0_start101__hb+0p0000__lb-0p250,outputs/finalization/highpower_multistart_v2/M0_start101,0.0,-0.25,0.20752588749176293,1.1563868705421674,0.5335183432124124,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_20260209_061632UTC/cases/M0_start101__hb+0p0000__lb-0p250
M0_start101__hb+0p0000__lb+0p000,outputs/finalization/highpower_multistart_v2/M0_start101,0.0,0.0,0.20768089128713918,1.225442213184261,0.5335183432124124,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_20260209_061632UTC/cases/M0_start101__hb+0p0000__lb+0p000
M0_start101__hb+0p0000__lb+0p250,outputs/finalization/highpower_multistart_v2/M0_start101,0.0,0.25,0.20893750389378518,1.2925392629282675,0.5335183432124124,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_20260209_061632UTC/cases/M0_start101__hb+0p0000__lb+0p250
M0_start101__hb+0p0030__lb-0p250,outputs/finalization/highpower_multistart_v2/M0_start101,0.003,-0.25,0.24545458937878017,1.0957824251430475,0.5335183432124124,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_20260209_061632UTC/cases/M0_start101__hb+0p0030__lb-0p250
M0_start101__hb+0p0030__lb+0p000,outputs/finalization/highpower_multistart_v2/M0_start101,0.003,0.0,0.24578066720828495,1.1644075087440964,0.5335183432124124,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_20260209_061632UTC/cases/M0_start101__hb+0p0030__lb+0p000
M0_start101__hb+0p0030__lb+0p250,outputs/finalization/highpower_multistart_v2/M0_start101,0.003,0.25,0.24728542028110445,1.231142831671437,0.5335183432124124,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_20260209_061632UTC/cases/M0_start101__hb+0p0030__lb+0p250
M0_start202__hb-0p0030__lb-0p250,outputs/finalization/highpower_multistart_v2/M0_start202,-0.003,-0.25,0.23850517567963359,1.1071129921761191,0.6490223472481287,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_20260209_061632UTC/cases/M0_start202__hb-0p0030__lb-0p250
M0_start202__hb-0p0030__lb+0p000,outputs/finalization/highpower_multistart_v2/M0_start202,-0.003,0.0,0.2380011278977029,1.1770922447741023,0.6490223472481287,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_20260209_061632UTC/cases/M0_start202__hb-0p0030__lb+0p000
M0_start202__hb-0p0030__lb+0p250,outputs/finalization/highpower_multistart_v2/M0_start202,-0.003,0.25,0.23808414534180677,1.244637026269888,0.6490223472481287,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_20260209_061632UTC/cases/M0_start202__hb-0p0030__lb+0p250
M0_start202__hb+0p0000__lb-0p250,outputs/finalization/highpower_multistart_v2/M0_start202,0.0,-0.25,0.275611247301512,1.0469469181850157,0.6490223472481287,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_20260209_061632UTC/cases/M0_start202__hb+0p0000__lb-0p250
M0_start202__hb+0p0000__lb+0p000,outputs/finalization/highpower_multistart_v2/M0_start202,0.0,0.0,0.27620350782144065,1.1135252875610837,0.6490223472481287,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_20260209_061632UTC/cases/M0_start202__hb+0p0000__lb+0p000
M0_start202__hb+0p0000__lb+0p250,outputs/finalization/highpower_multistart_v2/M0_start202,0.0,0.25,0.2754551057577793,1.1840784437821084,0.6490223472481287,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_20260209_061632UTC/cases/M0_start202__hb+0p0000__lb+0p250
M0_start202__hb+0p0030__lb-0p250,outputs/finalization/highpower_multistart_v2/M0_start202,0.003,-0.25,0.3127062410478998,0.9871163862035285,0.6490223472481287,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_20260209_061632UTC/cases/M0_start202__hb+0p0030__lb-0p250
