label,run_dir,highz_bias_frac,local_bias,anchor_gr_relief,anchor_gr_gap_sigma,posterior_h0_relief,out_dir
M0_start101__hb-0p0030__lb-0p250,outputs/finalization/highpower_multistart_v2/M0_start101,-0.003,-0.25,0.17350319675759063,1.213237084351908,0.5335183432124124,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_repeat_20260209_061832UTC/cases/M0_start101__hb-0p0030__lb-0p250
M0_start101__hb-0p0030__lb+0p000,outputs/finalization/highpower_multistart_v2/M0_start101,-0.003,0.0,0.17317568773574032,1.2847352984255225,0.5335183432124124,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_repeat_20260209_061832UTC/cases/M0_start101__hb-0p0030__lb+0p000
M0_start101__hb-0p0030__lb+0p250,outputs/finalization/highpower_multistart_v2/M0_start101,-0.003,0.25,0.17425374906209834,1.3517678239360669,0.5335183432124124,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_repeat_20260209_061832UTC/cases/M0_start101__hb-0p0030__lb+0p250
M0_start101__hb+0p0000__lb-0p250,outputs/finalization/highpower_multistart_v2/M0_start101,0.0,-0.25,0.21045338381598166,1.1528479659103543,0.5335183432124124,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_repeat_20260209_061832UTC/cases/M0_start101__hb+0p0000__lb-0p250
M0_start101__hb+0p0000__lb+0p000,outputs/finalization/highpower_multistart_v2/M0_start101,0.0,0.0,0.21048016972724093,1.2217672500867254,0.5335183432124124,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_repeat_20260209_061832UTC/cases/M0_start101__hb+0p0000__lb+0p000
M0_start101__hb+0p0000__lb+0p250,outputs/finalization/highpower_multistart_v2/M0_start101,0.0,0.25,0.20912975690191682,1.293692149391954,0.5335183432124124,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_repeat_20260209_061832UTC/cases/M0_start101__hb+0p0000__lb+0p250
M0_start101__hb+0p0030__lb-0p250,outputs/finalization/highpower_multistart_v2/M0_start101,0.003,-0.25,0.24519591430865184,1.096546560101237,0.5335183432124124,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_repeat_20260209_061832UTC/cases/M0_start101__hb+0p0030__lb-0p250
M0_start101__hb+0p0030__lb+0p000,outputs/finalization/highpower_multistart_v2/M0_start101,0.003,0.0,0.2443956699522588,1.1676476898633361,0.5335183432124124,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_repeat_20260209_061832UTC/cases/M0_start101__hb+0p0030__lb+0p000
M0_start101__hb+0p0030__lb+0p250,outputs/finalization/highpower_multistart_v2/M0_start101,0.003,0.25,0.2441354941198427,1.239118154995956,0.5335183432124124,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_repeat_20260209_061832UTC/cases/M0_start101__hb+0p0030__lb+0p250
M0_start202__hb-0p0030__lb-0p250,outputs/finalization/highpower_multistart_v2/M0_start202,-0.003,-0.25,0.23832721508966637,1.1089251493543646,0.6490223472481287,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_repeat_20260209_061832UTC/cases/M0_start202__hb-0p0030__lb-0p250
M0_start202__hb-0p0030__lb+0p000,outputs/finalization/highpower_multistart_v2/M0_start202,-0.003,0.0,0.23926370884241388,1.1735299846661846,0.6490223472481287,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_repeat_20260209_061832UTC/cases/M0_start202__hb-0p0030__lb+0p000
M0_start202__hb-0p0030__lb+0p250,outputs/finalization/highpower_multistart_v2/M0_start202,-0.003,0.25,0.2395561995617208,1.2407991723144642,0.6490223472481287,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_repeat_20260209_061832UTC/cases/M0_start202__hb-0p0030__lb+0p250
M0_start202__hb+0p0000__lb-0p250,outputs/finalization/highpower_multistart_v2/M0_start202,0.0,-0.25,0.27728774779304877,1.042873124460427,0.6490223472481287,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_repeat_20260209_061832UTC/cases/M0_start202__hb+0p0000__lb-0p250
M0_start202__hb+0p0000__lb+0p000,outputs/finalization/highpower_multistart_v2/M0_start202,0.0,0.0,0.2766639389324158,1.1137939748985746,0.6490223472481287,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_repeat_20260209_061832UTC/cases/M0_start202__hb+0p0000__lb+0p000
M0_start202__hb+0p0000__lb+0p250,outputs/finalization/highpower_multistart_v2/M0_start202,0.0,0.25,0.2756920659248713,1.18742618060909,0.6490223472481287,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_repeat_20260209_061832UTC/cases/M0_start202__hb+0p0000__lb+0p250
M0_start202__hb+0p0030__lb-0p250,outputs/finalization/highpower_multistart_v2/M0_start202,0.003,-0.25,0.31320514112900233,0.9900471167052596,0.6490223472481287,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_repeat_20260209_061832UTC/cases/M0_start202__hb+0p0030__lb-0p250
M0_start202__hb+0p0030__lb+0p000,outputs/finalization/highpower_multistart_v2/M0_start202,0.003,0.0,0.3124039085858832,1.059648812361721,0.6490223472481287,/home/primary/PROJECT/outputs/hubble_tension_bias_transfer_constrained_v2_repeat_20260209_061832UTC/cases/M0_start202__hb+0p0030__lb+0p000
