H0_true,H0_inferred_gr,delta_H0_inferred_minus_true,omega_m_true,omega_m_assumed,omega_k_true,r_d_true,r_d_assumed,theta_star_true,theta_star_obs,A_lens_true,A_lens_obs,relief_fraction,rd_shift_needed_frac_for_H0local
6.804245367358018370e+01,6.133036117819180788e+01,-6.712092495388375823e+00,2.538717155564859662e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.445409705537052218e+02,1.470900000000000034e+02,9.658977717507139654e-03,9.658977717507139654e-03,9.139655440966713007e-01,9.139655440966713007e-01,-1.083864075322893417e+00,-1.584981688387979704e-01
6.480998353031698400e+01,6.973267878967895683e+01,4.922695259361972830e+00,3.138723670201830074e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.583816924805635722e+02,1.470900000000000034e+02,1.096866930635866794e-02,1.096866930635866794e-02,8.755504686076641674e-01,8.755504686076641674e-01,4.165497838712417522e-01,-4.439625220662812843e-02
7.123559128662279250e+01,6.565554694423705939e+01,-5.580044342385733103e+00,2.970575913826871139e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.388695370834630864e+02,1.470900000000000034e+02,1.033300248456274495e-02,1.033300248456274495e-02,9.226488643355752473e-01,9.226488643355752473e-01,-3.115094742433834885e-01,-9.977631521061913755e-02
7.262137782248032636e+01,6.050423829863123615e+01,-1.211713952384909021e+01,2.132224267987741506e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.431705318506718356e+02,1.470900000000000034e+02,9.530278249573361643e-03,9.530278249573361643e-03,9.641127369409664416e-01,9.641127369409664416e-01,-1.231386018101567448e+00,-1.697106222788187235e-01
6.908607568616632477e+01,7.348381396909066154e+01,4.397738282924336772e+00,3.866373272525171489e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.440484273769050390e+02,1.470900000000000034e+02,1.155373238274821912e-02,1.155373238274821912e-02,9.021841091499053222e-01,9.021841091499053222e-01,9.136046483766675497e-01,6.575151240576060374e-03
6.591343227800470572e+01,7.499753966166301211e+01,9.084107383658306389e+00,3.834111363452568644e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.545341745835545737e+02,1.470900000000000034e+02,1.178988200255177282e-02,1.178988200255177282e-02,9.602386400986375747e-01,9.602386400986375747e-01,6.432964889887474724e-01,2.714879198234187996e-02
7.349791574420322604e+01,7.549199997544229745e+01,1.994084231239071414e+00,3.811605201394927533e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.399342212157911547e+02,1.470900000000000034e+02,1.186702692613106000e-02,1.186702692613106000e-02,9.470147498942292907e-01,9.470147498942292907e-01,5.550000043853036136e-01,3.386975111025214424e-02
7.390246813263843251e+01,7.146912700229889026e+01,-2.433341130339542246e+00,3.577107655193930147e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.352246217330646800e+02,1.470900000000000034e+02,1.123947763170345809e-02,1.123947763170345809e-02,8.687793470563289766e-01,8.687793470563289766e-01,7.266298218390871977e-01,-2.080310308295940658e-02
7.039537295578757892e+01,7.491735812975578312e+01,4.521985173968204208e+00,3.845874316033377482e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.444338123544285395e+02,1.470900000000000034e+02,1.177737249645794369e-02,1.177737249645794369e-02,9.230405977869250433e-01,9.230405977869250433e-01,6.576146196864669502e-01,2.605894866840618995e-02
7.188085273511413220e+01,7.498805853490350160e+01,3.107205799789369394e+00,3.764876504459121476e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.428211329202991635e+02,1.470900000000000034e+02,1.178840280215078667e-02,1.178840280215078667e-02,9.921638597493841472e-01,9.921638597493841472e-01,6.449895473386600964e-01,2.701992225280225313e-02
7.234266202741407881e+01,7.081238738541584610e+01,-1.530274641998232710e+00,3.418236388971598316e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.393772558033571158e+02,1.470900000000000034e+02,1.113705041958260034e-02,1.113705041958260034e-02,9.050025779832273631e-01,9.050025779832273631e-01,6.093548902528291844e-01,-2.972668579339599049e-02
