H0_true,H0_inferred_gr,delta_H0_inferred_minus_true,omega_m_true,omega_m_assumed,omega_k_true,r_d_true,r_d_assumed,theta_star_true,theta_star_obs,A_lens_true,A_lens_obs,relief_fraction,rd_shift_needed_frac_for_H0local
7.123559128662279250e+01,6.565554694423705939e+01,-5.580044342385733103e+00,2.970575913826871139e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.388695370834630864e+02,1.470900000000000034e+02,1.033300248456274495e-02,1.033300248456274495e-02,9.226488643355752473e-01,9.226488643355752473e-01,-3.115094742433834885e-01,-9.977631521061913755e-02
6.591343227800470572e+01,7.499753966166301211e+01,9.084107383658306389e+00,3.834111363452568644e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.545341745835545737e+02,1.470900000000000034e+02,1.178988200255177282e-02,1.178988200255177282e-02,9.602386400986375747e-01,9.602386400986375747e-01,6.432964889887474724e-01,2.714879198234187996e-02
7.188085273511413220e+01,7.498805853490350160e+01,3.107205799789369394e+00,3.764876504459121476e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.428211329202991635e+02,1.470900000000000034e+02,1.178840280215078667e-02,1.178840280215078667e-02,9.921638597493841472e-01,9.921638597493841472e-01,6.449895473386600964e-01,2.701992225280225313e-02
6.815320635939835370e+01,7.460156429287521007e+01,6.448357933476856374e+00,3.731163805686690260e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.503478375381585579e+02,1.470900000000000034e+02,1.172810477952114343e-02,1.172810477952114343e-02,9.617762291233231675e-01,9.617762291233231675e-01,7.140063762722836938e-01,2.176668552918137323e-02
7.556809364593057410e+01,7.183294790752941594e+01,-3.735145738401158155e+00,3.608457541651544087e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.324662280506622949e+02,1.470900000000000034e+02,1.129622295397916289e-02,1.129622295397916289e-02,9.911525232633970894e-01,9.911525232633970894e-01,7.915978406302526249e-01,-1.585938191479829840e-02
7.000598266102502976e+01,7.369277954689509613e+01,3.686796885870066376e+00,3.738402188001809234e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.445154220790780073e+02,1.470900000000000034e+02,1.158633039182419520e-02,1.158633039182419520e-02,9.265802018940456630e-01,9.265802018940456630e-01,8.762893666258755321e-01,9.415129251905796082e-03
7.313934216559040635e+01,6.946067914270447829e+01,-3.678663022885928058e+00,3.308046511315577698e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.370461880623473689e+02,1.470900000000000034e+02,1.092625356687579319e-02,1.092625356687579319e-02,1.015679390720754194e+00,1.015679390720754194e+00,3.679784183400848230e-01,-4.809156277559256676e-02
7.002653427493865479e+01,7.011486897877971103e+01,8.833470384105623907e-02,3.207098780083209588e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.462231345394392008e+02,1.470900000000000034e+02,1.102827008721899739e-02,1.102827008721899739e-02,9.872853749450943850e-01,9.872853749450943850e-01,4.847980319249478587e-01,-3.920376002997694176e-02
7.267575111735831683e+01,6.564061545968380074e+01,-7.035135657674516096e+00,2.711684272476944102e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.411191690528547156e+02,1.470900000000000034e+02,1.033067501765770439e-02,1.033067501765770439e-02,9.911042580282856118e-01,9.911042580282856118e-01,-3.141758107707512959e-01,-9.997908694483792491e-02
6.930535804174807879e+01,7.591585581302121000e+01,6.610497771273131207e+00,3.958750296585033523e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.469062552085202071e+02,1.470900000000000034e+02,1.193315868145363411e-02,1.193315868145363411e-02,9.350330898976269012e-01,9.350330898976269012e-01,4.793114619604976756e-01,3.963122968794707823e-02
