H0_true,H0_inferred_gr,delta_H0_inferred_minus_true,omega_m_true,omega_m_assumed,omega_k_true,r_d_true,r_d_assumed,theta_star_true,theta_star_obs,A_lens_true,A_lens_obs,relief_fraction,rd_shift_needed_frac_for_H0local
6.804245367358018370e+01,6.590444185890481776e+01,-2.138011814675365940e+00,2.538717155564859662e-01,2.631298999757160639e-01,0.000000000000000000e+00,1.445409705537052218e+02,1.470900000000000034e+02,9.658977717507139654e-03,9.658977717507139654e-03,9.139655440966713007e-01,9.139655440966713007e-01,-2.670639537669980967e-01,-9.624393447855972283e-02
6.480998353031698400e+01,7.754103594607703087e+01,1.273105241576004687e+01,3.138723670201830074e-01,2.414754162699164486e-01,0.000000000000000000e+00,1.583816924805635722e+02,1.470900000000000034e+02,1.096866930635866794e-02,1.096866930635866794e-02,8.755504686076641674e-01,8.755504686076641674e-01,1.891007239148151386e-01,6.158132704911123412e-02
7.123559128662279250e+01,7.002495430780757601e+01,-1.210636978815216480e+00,2.970575913826871139e-01,2.681534919608138390e-01,0.000000000000000000e+00,1.388695370834630864e+02,1.470900000000000034e+02,1.033300248456274495e-02,1.033300248456274495e-02,9.226488643355752473e-01,9.226488643355752473e-01,4.687418406799237491e-01,-4.036971914963827235e-02
7.262137782248032636e+01,6.230283361057550451e+01,-1.031854421190482185e+01,2.132224267987741506e-01,2.927967114025173401e-01,0.000000000000000000e+00,1.431705318506718356e+02,1.470900000000000034e+02,9.530278249573361643e-03,9.530278249573361643e-03,9.641127369409664416e-01,9.641127369409664416e-01,-9.102082838258047648e-01,-1.452074711794967277e-01
6.908607568616632477e+01,7.979122962508124317e+01,1.070515393891491840e+01,3.866373272525171489e-01,2.563898925428215181e-01,0.000000000000000000e+00,1.440484273769050390e+02,1.470900000000000034e+02,1.155373238274821912e-02,1.155373238274821912e-02,9.021841091499053222e-01,9.021841091499053222e-01,-2.127195759073661208e-01,9.215842021953157825e-02
6.591343227800470572e+01,7.747945503500802999e+01,1.156602275700332427e+01,3.834111363452568644e-01,2.904483474706213153e-01,0.000000000000000000e+00,1.545341745835545737e+02,1.470900000000000034e+02,1.178988200255177282e-02,1.178988200255177282e-02,9.602386400986375747e-01,9.602386400986375747e-01,2.000973151771366920e-01,6.084742672023923937e-02
7.349791574420322604e+01,7.886082720197182994e+01,5.362911457768603896e+00,3.811605201394927533e-01,2.825036350029273002e-01,0.000000000000000000e+00,1.399342212157911547e+02,1.470900000000000034e+02,1.186702692613106000e-02,1.186702692613106000e-02,9.470147498942292907e-01,9.470147498942292907e-01,-4.657628606639918623e-02,7.959763634333771876e-02
7.390246813263843251e+01,7.996420604257335185e+01,6.061737909934919344e+00,3.577107655193930147e-01,2.377549294695605608e-01,0.000000000000000000e+00,1.352246217330646800e+02,1.470900000000000034e+02,1.123947763170345809e-02,1.123947763170345809e-02,8.687793470563289766e-01,8.687793470563289766e-01,-2.436082218880997186e-01,9.443856887914603426e-02
7.039537295578757892e+01,7.988006279305984947e+01,9.484689837272270552e+00,3.845874316033377482e-01,2.683812427262957101e-01,0.000000000000000000e+00,1.444338123544285395e+02,1.470900000000000034e+02,1.177737249645794369e-02,1.177737249645794369e-02,9.230405977869250433e-01,9.230405977869250433e-01,-2.285826416178315945e-01,9.340276886527809630e-02
7.188085273511413220e+01,7.546367015193379757e+01,3.582817416819665368e+00,3.764876504459121476e-01,3.100825742467305801e-01,0.000000000000000000e+00,1.428211329202991635e+02,1.470900000000000034e+02,1.178840280215078667e-02,1.178840280215078667e-02,9.921638597493841472e-01,9.921638597493841472e-01,5.600589014403928312e-01,3.348055143412498325e-02
7.234266202741407881e+01,7.669850130173712444e+01,4.355839274323045629e+00,3.418236388971598316e-01,2.579943448392305050e-01,0.000000000000000000e+00,1.393772558033571158e+02,1.470900000000000034e+02,1.113705041958260034e-02,1.113705041958260034e-02,9.050025779832273631e-01,9.050025779832273631e-01,3.395533389755128750e-01,5.018528050262371920e-02
6.834251167475530053e+01,7.973705897858265246e+01,1.139454730382735193e+01,3.895370752673026349e-01,2.805975098761048780e-01,0.000000000000000000e+00,1.503424477641703163e+02,1.470900000000000034e+02,1.196567975436414744e-02,1.196567975436414744e-02,9.438144656861475745e-01,9.438144656861475745e-01,-2.030462461754749537e-01,9.149607826747607753e-02
7.206926788220056324e+01,7.227759658151748567e+01,2.083286993169224388e-01,3.036388430965192842e-01,2.640303351073982063e-01,0.000000000000000000e+00,1.395645944714056270e+02,1.470900000000000034e+02,1.059710673807423911e-02,1.059710673807423911e-02,9.155280115995833023e-01,9.155280115995833023e-01,8.709993895566937594e-01,-9.802347130654531782e-03
6.815320635939835370e+01,7.697160618029576540e+01,8.818399820897411701e+00,3.731163805686690260e-01,2.913792571956037580e-01,0.000000000000000000e+00,1.503478375381585579e+02,1.470900000000000034e+02,1.172810477952114343e-02,1.172810477952114343e-02,9.617762291233231675e-01,9.617762291233231675e-01,2.907846106614697668e-01,5.394925205904921306e-02
6.938614727670278626e+01,7.858087200624046886e+01,9.194724729537682606e+00,3.669631531353993448e-01,2.700354801793975468e-01,0.000000000000000000e+00,1.472598442386840247e+02,1.470900000000000034e+02,1.161555863537179836e-02,1.161555863537179836e-02,9.258809278913829877e-01,9.258809278913829877e-01,3.415713171343814913e-03,7.576501214826580899e-02
7.556809364593057410e+01,7.234768058308048921e+01,-3.220413062850084884e+00,3.608457541651544087e-01,3.094507471769903928e-01,0.000000000000000000e+00,1.324662280506622949e+02,1.470900000000000034e+02,1.129622295397916289e-02,1.129622295397916289e-02,9.911525232633970894e-01,9.911525232633970894e-01,8.835143898358015502e-01,-8.863494826063189613e-03
6.765466387310553387e+01,7.382621295280382867e+01,6.171549079698294804e+00,3.397173829486140328e-01,2.866235227574280842e-01,0.000000000000000000e+00,1.498926048736066718e+02,1.470900000000000034e+02,1.117939144619955680e-02,1.117939144619955680e-02,9.538951437457247051e-01,9.538951437457247051e-01,8.524619727136019121e-01,1.121995189615065946e-02
7.162985039810169496e+01,7.780924966621174121e+01,6.179399268110046251e+00,3.769743967696224107e-01,2.951995038199366483e-01,0.000000000000000000e+00,1.447977627517117014e+02,1.470900000000000034e+02,1.191630233673731006e-02,1.191630233673731006e-02,9.680605776334730850e-01,9.680605776334730850e-01,1.412054167479024347e-01,6.533686586908049598e-02
7.007348699830185978e+01,7.808869902802557306e+01,8.015212029723713272e+00,3.833510789251881046e-01,3.089875375422455606e-01,0.000000000000000000e+00,1.502254254490261189e+02,1.470900000000000034e+02,1.217819975451244104e-02,1.217819975451244104e-02,9.904104288598898354e-01,9.904104288598898354e-01,9.130374499543247868e-02,6.915936519576004748e-02
7.303453179082248425e+01,6.786845991757924423e+01,-5.166071873243240020e+00,3.207378223230148984e-01,3.147755494737393134e-01,0.000000000000000000e+00,1.357505979628837167e+02,1.470900000000000034e+02,1.067495532035891981e-02,1.067495532035891981e-02,9.996436658363778704e-01,9.996436658363778704e-01,8.365355671057839171e-02,-6.972060949094627258e-02
7.172394803533298102e+01,7.545750621459228569e+01,3.733558179259304666e+00,3.807496326676892417e-01,3.153641401339744021e-01,0.000000000000000000e+00,1.434353717530433414e+02,1.470900000000000034e+02,1.186711442535446324e-02,1.186711442535446324e-02,1.000577833267015437e+00,1.000577833267015437e+00,5.611596045370914609e-01,3.340118485506637924e-02
7.347689450414661394e+01,7.081914800884860028e+01,-2.657746495298013656e+00,3.203243477752014123e-01,2.997539241640612695e-01,0.000000000000000000e+00,1.381130744497435501e+02,1.470900000000000034e+02,1.092037887347555719e-02,1.092037887347555719e-02,9.754997484628011861e-01,9.754997484628011861e-01,6.105621444372496542e-01,-2.962291943660400051e-02
7.002653427493865479e+01,7.083921099313509728e+01,8.126767181964424935e-01,3.207098780083209588e-01,3.070407096478496856e-01,0.000000000000000000e+00,1.462231345394392008e+02,1.470900000000000034e+02,1.102827008721899739e-02,1.102827008721899739e-02,9.872853749450943850e-01,9.872853749450943850e-01,6.141448202026955627e-01,-2.935620547024320182e-02
7.057169819482663797e+01,8.082790858684016655e+01,1.025621039201352858e+01,3.467479716686829860e-01,2.353039671685728251e-01,0.000000000000000000e+00,1.442839537111147479e+02,1.470900000000000034e+02,1.131363324897919319e-02,1.131363324897919319e-02,8.642897206203907778e-01,8.642897206203907778e-01,-3.978408190786026921e-01,1.061442482187666680e-01
6.930535804174807879e+01,8.011503971967624693e+01,1.080968167792816814e+01,3.958750296585033523e-01,2.754003669491034700e-01,0.000000000000000000e+00,1.469062552085202071e+02,1.470900000000000034e+02,1.193315868145363411e-02,1.193315868145363411e-02,9.350330898976269012e-01,9.350330898976269012e-01,-2.705428070850453004e-01,9.661550098385074392e-02
7.207814076492054767e+01,7.545470325056082572e+01,3.376562485640278055e+00,3.360496011951170647e-01,2.618322612221867796e-01,0.000000000000000000e+00,1.393882766961342554e+02,1.470900000000000034e+02,1.102208566797008467e-02,1.102208566797008467e-02,9.117091244961202934e-01,9.117091244961202934e-01,5.616601338284235023e-01,3.331066444262109627e-02
7.159672064753758036e+01,6.410305767834108792e+01,-7.493662969196492440e+00,2.557675893592205596e-01,3.258578897377936157e-01,0.000000000000000000e+00,1.451115397583591289e+02,1.470900000000000034e+02,1.022806012585617680e-02,1.022806012585617680e-02,1.017088733214113860e+00,1.017088733214113860e+00,-5.887397002962360126e-01,-1.208904663077230435e-01
7.368937264436704027e+01,7.448862654837685682e+01,7.992539040098165515e-01,3.349045778032049281e-01,2.769197472933740967e-01,0.000000000000000000e+00,1.378358910930316483e+02,1.470900000000000034e+02,1.112592638914399606e-02,1.112592638914399606e-02,9.376088250799768931e-01,9.376088250799768931e-01,7.341738306469896003e-01,2.021011297630814774e-02
6.923932421392566994e+01,7.200023152423749195e+01,2.760907310311822016e+00,3.736745241474023760e-01,3.305559743076288415e-01,0.000000000000000000e+00,1.455743991217523217e+02,1.470900000000000034e+02,1.154228636759523259e-02,1.154228636759523259e-02,1.024394477445600193e+00,1.024394477445600193e+00,8.214699150424090712e-01,-1.359126898457030386e-02
7.330471019572405567e+01,7.253233153373240327e+01,-7.723786619916523932e-01,3.053901536474838418e-01,2.640533046825242480e-01,0.000000000000000000e+00,1.374006586354943238e+02,1.470900000000000034e+02,1.063446261622003758e-02,1.063446261622003758e-02,9.155678343572372091e-01,9.155678343572372091e-01,9.164877738807861718e-01,-6.345915411632319092e-03
6.804887652870945658e+01,7.496621064625678343e+01,6.917334117547326855e+00,3.876373858322459953e-01,3.065475887027981350e-01,0.000000000000000000e+00,1.473929066347429853e+02,1.470900000000000034e+02,1.165790310777099076e-02,1.165790310777099076e-02,9.864922444007613311e-01,9.864922444007613311e-01,6.488909560255740061e-01,2.671723654320623531e-02
7.072521634950794578e+01,7.324149992100170437e+01,2.516283571493758586e+00,3.538030498363331500e-01,2.958739355783470693e-01,0.000000000000000000e+00,1.417891849219261360e+02,1.470900000000000034e+02,1.123234939262131304e-02,1.123234939262131304e-02,9.691657934375088601e-01,9.691657934375088601e-01,9.568750141068385062e-01,3.280351740043929709e-03
6.859053679213094767e+01,7.584012711687653052e+01,7.249590324745582848e+00,3.534214583597244386e-01,2.668166526053933896e-01,0.000000000000000000e+00,1.452981089096305993e+02,1.470900000000000034e+02,1.116071374896392306e-02,1.116071374896392306e-02,9.203461264100992745e-01,9.203461264100992745e-01,4.928344434149047881e-01,3.854823273553420471e-02
