H0_true,H0_inferred_gr,delta_H0_inferred_minus_true,omega_m_true,omega_m_assumed,omega_k_true,r_d_true,r_d_assumed,theta_star_true,theta_star_obs,A_lens_true,A_lens_obs,relief_fraction,rd_shift_needed_frac_for_H0local
7.349791574420322604e+01,7.549199997544229745e+01,1.994084231239071414e+00,3.811605201394927533e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.399342212157911547e+02,1.470900000000000034e+02,1.186702692613106000e-02,1.186702692613106000e-02,9.470147498942292907e-01,9.470147498942292907e-01,5.550000043853036136e-01,3.386975111025214424e-02
7.206926788220056324e+01,6.734970697656908101e+01,-4.719560905631482228e+00,3.036388430965192842e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.395645944714056270e+02,1.470900000000000034e+02,1.059710673807423911e-02,1.059710673807423911e-02,9.155280115995833023e-01,9.155280115995833023e-01,-8.980897041236612921e-03,-7.676723294049847546e-02
6.983550791759520848e+01,6.609724785185873941e+01,-3.738260065736469073e+00,2.866453211641256660e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.446041444295933616e+02,1.470900000000000034e+02,1.040185499456405122e-02,1.040185499456405122e-02,9.566502465178362558e-01,9.566502465178362558e-01,-2.326343121680833903e-01,-9.377780119177769880e-02
7.376508694020017742e+01,6.511531645675306379e+01,-8.649770483447113634e+00,2.737542194914570071e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.374351233203677225e+02,1.470900000000000034e+02,1.024879574304185872e-02,1.024879574304185872e-02,9.690041440384055127e-01,9.690041440384055127e-01,-4.079792041512400047e-01,-1.071125084660926596e-01
7.395818039775045349e+01,6.629853717394625789e+01,-7.659643223804195600e+00,2.853326595513753228e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.372753035705909497e+02,1.470900000000000034e+02,1.043323315932636990e-02,1.043323315932636990e-02,9.716224981063603661e-01,9.716224981063603661e-01,-1.966897903667408354e-01,-9.104409749370312444e-02
7.205593031968031426e+01,7.458930113483030766e+01,2.533370815149993405e+00,3.943298254960263538e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.391035231014459157e+02,1.470900000000000034e+02,1.172619160201303357e-02,1.172619160201303357e-02,8.647854535586848579e-01,8.647854535586848579e-01,7.161962259231591243e-01,2.160000718873011927e-02
7.075501291122149894e+01,5.854644488475311448e+01,-1.220856802646838446e+01,2.039836605998380237e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.446704187418512788e+02,1.470900000000000034e+02,9.225336256204084637e-03,9.225336256204084637e-03,9.387544084193530924e-01,9.387544084193530924e-01,-1.580991984865518063e+00,-1.962775378803613968e-01
7.067006874498130742e+01,7.482302112451323239e+01,4.152952379531924976e+00,3.983289559053868056e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.416758915419233915e+02,1.470900000000000034e+02,1.176265463163824951e-02,1.176265463163824951e-02,9.580768905882087738e-01,9.580768905882087738e-01,6.744605134797796442e-01,2.477671046900442597e-02
7.055287550049106926e+01,7.124438617412300800e+01,6.915106736319387437e-01,3.342702146950080611e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.450410148479637371e+02,1.470900000000000034e+02,1.120442563565858182e-02,1.120442563565858182e-02,9.906044579695789665e-01,9.906044579695789665e-01,6.864975310933939534e-01,-2.385687540962666553e-02
6.929539145740820061e+01,7.566129906347200063e+01,6.365907606063800017e+00,3.921123422455955465e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.470034493214479312e+02,1.470900000000000034e+02,1.189344140852844310e-02,1.189344140852844310e-02,9.461919694910517764e-01,9.461919694910517764e-01,5.247680243799994759e-01,3.617101279204315567e-02
6.567505581022484762e+01,6.886048282878039117e+01,3.185427018555543555e+00,3.410961370406021542e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.493412760455636885e+02,1.470900000000000034e+02,1.083266269670360785e-02,1.083266269670360785e-02,9.849485734309462170e-01,9.849485734309462170e-01,2.608005051393548213e-01,-5.624531267886823116e-02
7.238618742832468911e+01,6.745172456416806028e+01,-4.934462864156628825e+00,3.053179870568622500e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.388621834547244021e+02,1.470900000000000034e+02,1.061301188322166973e-02,1.061301188322166973e-02,9.674419546981973816e-01,9.674419546981973816e-01,9.236529315724051337e-03,-7.538155744171470829e-02
6.697490725612256313e+01,6.639381597963144088e+01,-5.810912764911222439e-01,2.876449116225728297e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.511803010083634149e+02,1.470900000000000034e+02,1.044808602013351864e-02,1.044808602013351864e-02,9.738333175921872753e-01,9.738333175921872753e-01,-1.796757179229582224e-01,-8.975009828045887872e-02
6.952050191648493183e+01,7.053010215488720291e+01,1.009600238402271088e+00,3.496539890693466379e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.431135815160591562e+02,1.470900000000000034e+02,1.109302623077266896e-02,1.109302623077266896e-02,9.603429273644498165e-01,9.603429273644498165e-01,5.589468133727143462e-01,-3.356212641479805470e-02
6.738867398802658215e+01,7.148536370845096144e+01,4.096689720424379288e+00,3.376143887765813978e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.516982009368283002e+02,1.470900000000000034e+02,1.124201003862602792e-02,1.124201003862602792e-02,9.402920454415624185e-01,9.402920454415624185e-01,7.295292336519570986e-01,-2.058247672632906866e-02
7.036585962679339445e+01,7.377530113142748291e+01,3.409441504634088460e+00,3.702722107861756706e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.444976688781213738e+02,1.470900000000000034e+02,1.159920367306515460e-02,1.159920367306515460e-02,9.462035024649617654e-01,9.462035024649617654e-01,8.615533693879493526e-01,1.053666509701756127e-02
7.191363655686059531e+01,7.231193315983266245e+01,3.982966029720671486e-01,3.622200377610412803e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.398573338149336678e+02,1.470900000000000034e+02,1.137093334884088647e-02,1.137093334884088647e-02,9.430998723387149507e-01,9.430998723387149507e-01,8.771309213986896447e-01,-9.350521875814421513e-03
