beta_ia,beta_cc,delta_h0_ladder,beta_bao,logZ,posterior_weight,relief_mean,relief_sd,mean_abs_delta_sn,mean_abs_delta_cc,mean_abs_delta_bao,mean_abs_delta_local
0.00608220574,0.33213195,0.654770458,0.0363257632,13.8335035,0.0152347217,0.803729049,0.118805075,0.0439019874,1.09755307,0.702582423,0.874889697
0.0660002744,0.0675519253,0.812365468,-0.0270743699,15.0058872,0.0492033053,0.799010797,0.0861490362,0.93615266,0.117219875,0.291916162,1.18614726
-0.111581962,0.12725488,-0.0267349123,-0.00761228348,16.4647445,0.211625482,0.83424009,0.121036634,2.44550971,0.49347551,0.142169836,0.0245746531
-0.0358310227,-0.152017503,-0.898471097,0.0029106354,16.4086279,0.20007684,0.855928213,0.115752595,1.23805471,0.245245776,0.0746160582,0.628608966
0.0576951688,-0.205704206,-1.21269478,0.00746255281,14.0887421,0.0196645145,0.850173641,0.131019892,0.687973203,0.800800801,0.271719043,1.14192762
0.0811382235,-0.106000569,-0.816262882,-0.0286084086,13.7288872,0.0137214575,0.814976714,0.115565432,1.05503488,0.59767222,0.561615609,0.954510137
0.0137925111,0.0519905967,0.259966166,0.00998778177,15.5955991,0.088736626,0.812703933,0.126749702,0.241331534,0.129971268,0.232539195,0.298468941
0.0332876831,0.0620410945,0.496272916,-0.0474884824,14.6337206,0.0339128567,0.778999968,0.098876949,0.447978076,0.108895882,0.702815622,0.708857831
0.0956012664,0.402641156,-0.274466929,0.0103568947,11.7360015,0.00187025558,0.721022421,0.151766209,0.986579264,1.34183995,0.108021225,0.403270006
0.000510640579,-0.0675879954,1.04217128,0.0130875797,16.4481978,0.208152594,0.853765732,0.0956232812,0.00787181973,0.076948882,0.357907414,1.17493819
0.0271862573,0.0533231257,0.640605676,0.0336026264,14.8733771,0.0430968833,0.842994991,0.120105162,0.262062822,0.114455832,0.709265429,0.694090374
-0.0777282529,-0.30828705,0.247023254,-0.0439960029,15.4524575,0.0769019393,0.841811185,0.10831455,0.747010788,0.447584171,0.654857274,0.223086897
-0.0341303073,0.296232798,-1.95057442,0.0397176416,11.6347428,0.00169014854,0.77477022,0.111460429,0.426604471,1.42929765,0.79377856,0.696237952
-0.00893247342,0.170895172,0.142996728,0.0536750645,13.5257278,0.0111987414,0.825667949,0.13044086,0.0554980754,0.546270158,1.16447542,0.147220638
0.0334470178,-0.0320490629,0.921165553,0.0702867981,13.535384,0.011307403,0.829800812,0.0884390417,0.14971248,0.0449752321,1.39837118,1.01107335
-0.0302936978,0.0198080083,-0.740302081,0.0500599678,13.7204543,0.0136062312,0.828693391,0.119462444,0.273255908,0.0606367741,1.16592142,0.636564826
